model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,0,1000500,292.9999865934187,400,35,297.9999881312251,31,314.99998659789355,35,292.9999865934187,35,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,1,1000501,262.99998811184673,400,31,294.4999881282446,31,282.99998811632156,31,262.99998811184673,31,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,2,1000502,273.99998697488854,400,34,301.4999873697759,33,293.99998698234356,34,273.99998697488854,34,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,3,1000503,92.49999123811907,400,23,127.99999357163932,17,112.9999912425883,23,92.49999123811907,23,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,4,1000504,267.99998773335744,400,32,283.4999885082244,30,287.9999877348521,32,267.99998773335744,32,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,5,1000505,209.9999893099086,400,28,248.99998970329784,27,229.99998931288772,28,209.9999893099086,28,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,6,1000506,276.9999877288866,400,32,297.4999881193037,31,296.99998773038124,32,276.9999877288866,32,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,7,1000507,248.49998849182816,400,30,278.9999884992833,30,268.49998849332064,30,248.49998849182816,30,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,8,1000508,160.49999190569105,400,21,192.4999919161202,21,180.49999191314052,21,160.49999190569105,21,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,9,1000509,211.49999001622388,400,26,248.99999002814315,26,231.4999900206931,26,211.49999001622388,26,False,True
