model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,alert_only,0,1000000,256.9999881237676,400,31,282.9999885126946,30,279.4999881282424,31,256.9999881237676,31,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,alert_only,1,1000001,236.49998887330145,400,29,260.4999892637136,28,258.99998887628124,29,236.49998887330145,29,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,alert_only,2,1000002,285.4999869644572,400,34,322.4999869763848,34,305.99998696744194,34,285.4999869644572,34,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,alert_only,3,1000003,284.49998735039753,400,33,307.4999877452849,32,304.49998735785255,33,284.49998735039753,33,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,alert_only,4,1000004,183.49999039918367,400,25,165.99999270588182,19,208.49999040216278,25,183.49999039918367,25,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,alert_only,5,1000005,223.99998925179398,400,28,144.9999938666821,16,244.49998925477308,28,223.99998925179398,28,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,alert_only,6,1000006,222.4999896258132,400,27,252.49998963624236,27,242.4999896273022,27,222.4999896258132,27,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,alert_only,7,1000007,272.99998773037714,400,32,298.9999881207942,31,294.9999877333619,32,272.99998773037714,32,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,alert_only,8,1000008,176.99999078065346,400,24,215.49999116808198,23,206.99999078065233,24,176.99999078065346,24,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,alert_only,9,1000009,249.4999884962986,400,30,284.4999885052441,30,269.4999884977914,30,249.4999884962986,30,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,alert_only,10,1000010,264.999987731867,400,32,295.9999881222841,31,284.99998773336165,32,264.999987731867,32,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,alert_only,11,1000011,309.49998621343843,400,36,346.49998621791553,36,329.9999862149331,36,309.49998621343843,36,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,alert_only,12,1000012,242.99998887628004,400,29,275.49998888522373,29,262.999988877771,29,242.99998887628004,29,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,alert_only,13,1000013,173.99999115616265,400,23,213.99999116510168,23,195.4999911561615,23,173.99999115616265,23,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,alert_only,14,1000014,258.9999877318671,400,32,288.4999881267545,31,285.99998773485186,32,258.9999877318671,32,False,True
