model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,0,1000000,253.99998850374803,400,30,274.49998889118433,29,273.99998850673217,30,253.99998850374803,30,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,1,1000001,208.99998887479492,400,29,224.49999002814315,26,229.4999888747938,29,208.99998887479492,29,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,2,1000002,263.49998696296706,400,34,326.4999869748946,34,283.4999869674419,34,263.49998696296706,34,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,3,1000003,260.4999873548678,400,33,281.9999885067342,30,280.49998735785255,33,260.4999873548678,33,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,4,1000004,217.49998963326397,400,27,220.49999078959243,24,237.4999896377332,27,217.49998963326397,27,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,5,1000005,237.99998924881172,400,28,157.99999348372225,17,257.99998925179136,28,237.99998924881172,28,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,6,1000006,224.4999896258132,400,27,254.49998963475224,27,244.4999896273022,27,224.4999896258132,27,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,7,1000007,261.49998773484754,400,32,291.49998812377453,31,286.4999877363422,32,261.49998773484754,32,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,8,1000008,180.99999077767322,400,24,216.49999079406285,24,200.99999078214245,24,180.99999077767322,24,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,9,1000009,232.4999881133432,400,31,255.49998927414433,28,254.9999881163223,31,232.4999881133432,31,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,10,1000010,265.49998773186695,400,32,299.49998774081433,32,285.4999877333616,32,265.49998773186695,32,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,11,1000011,322.9999863058257,400,37,344.9999866932626,36,342.9999863103005,37,322.9999863058257,37,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,12,1000012,238.49998887777153,400,29,260.99998926669355,28,258.4999888792612,29,238.49998887777153,29,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,13,1000013,171.4999912202376,400,24,151.99999315440675,19,191.99999122470683,24,171.4999912202376,24,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,14,1000014,251.99998811631824,400,31,268.99998888969395,29,271.9999881178117,31,251.99998811631824,31,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,15,1000015,302.9999865859675,400,35,329.9999869778747,34,322.99998658895225,35,302.9999865859675,35,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,16,1000016,246.9999884962992,400,30,269.9999888867137,29,266.99998849779126,30,246.9999884962992,30,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,17,1000017,230.99998897314128,400,29,267.49998888969435,29,250.9999889761204,29,230.99998897314128,29,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,18,1000018,233.4999892503026,400,28,253.49998963773268,27,253.49998925030147,28,233.4999892503026,28,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,19,1000019,249.99998773335895,400,32,284.9999881252644,31,274.99998773336176,32,249.99998773335895,32,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,20,1000020,249.99998811333856,400,31,269.9999885067341,30,269.99998811632156,31,249.99998811333856,31,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,21,1000021,264.49998733400594,400,33,314.4999873414632,33,284.49998733699067,33,264.49998733400594,33,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,22,1000022,230.49998848438378,400,30,229.49999003112336,26,252.999988488853,30,230.49998848438378,30,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,23,1000023,183.49998963624427,400,27,227.4999900326135,26,203.49998964220362,27,183.49998963624427,27,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,24,1000024,92.89999193102298,400,21,110.89999348223228,17,114.89999193102184,21,92.89999193102298,21,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,25,1000025,209.49998963624424,400,27,214.99999079108258,24,229.49998963773322,27,209.49998963624424,27,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,26,1000026,189.4999903962035,400,25,235.99999040961288,25,209.4999903991826,25,189.4999903962035,25,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,27,1000027,224.3999896317739,400,27,244.49999001920241,26,234.49999001771286,26,224.3999896317739,27,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,28,1000028,284.4999873474167,400,33,304.4999877378338,32,304.49998735040145,33,284.4999873474167,33,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,29,1000029,304.49998582600864,400,37,289.9999877467748,32,314.49998621344326,36,304.49998582600864,37,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,30,1000030,230.49998887479333,400,29,264.49998926222304,28,250.49998887777244,29,230.49998887479333,29,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,31,1000031,337.49998545049937,400,38,347.99998622536634,36,347.4999858364439,37,337.49998545049937,38,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,32,1000032,273.4999877259065,400,32,294.9999881207939,31,283.49998811185105,31,273.4999877259065,32,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,33,1000033,237.99998850375275,400,30,266.49998889416474,29,257.9999885082225,30,237.99998850375275,30,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,34,1000034,282.49998659043814,400,35,302.9999873667952,33,302.9999865934229,35,282.49998659043814,35,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,35,1000035,225.4999893263001,400,29,238.49999048113844,26,245.49998932778908,29,225.4999893263001,29,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,36,1000036,187.49999039322321,400,25,208.99999078959246,24,207.49999039769244,25,187.49999039322321,25,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,37,1000037,243.99998811334083,400,31,261.99998889565484,29,263.99998811632213,31,243.99998811334083,31,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,38,1000038,349.49998505859867,400,39,369.99998545199594,38,369.9999850630735,39,349.49998505859867,39,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,39,1000039,250.4999880894968,400,31,286.999988104403,31,270.49998809247995,31,250.4999880894968,31,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,40,1000040,205.49998925030414,400,28,236.49999003261348,26,225.49998925179312,28,205.49998925030414,28,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,41,1000041,284.99998735188734,400,33,315.4999873608347,33,304.9999873548721,33,284.99998735188734,33,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,42,1000042,261.99998811631696,400,31,297.49998812526434,31,281.9999881193017,31,261.99998811631696,31,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,43,1000043,271.4999877348474,400,32,291.4999881267546,31,291.49998773783216,32,271.4999877348474,32,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,44,1000044,206.99998924434365,400,28,214.49999040961285,25,226.99998925477337,28,206.99998924434365,28,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,45,1000045,252.99998847096552,400,30,272.9999888628718,29,272.9999884724593,30,252.99998847096552,30,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,46,1000046,195.99998887181465,400,29,222.99999003559373,26,215.99998887330364,29,195.99998887181465,29,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,47,1000047,218.99998934567157,400,28,253.9999892622234,28,238.9999893501408,28,218.99998934567157,28,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,48,1000048,229.4999892592437,400,28,259.49998926520345,28,249.4999892622228,28,229.4999892592437,28,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,49,1000049,220.49998925924493,400,28,239.99999003559375,26,240.49998926222403,28,220.49998925924493,28,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,50,1000050,255.49998696594872,400,34,267.49998888373375,29,265.499987350403,33,255.49998696594872,34,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,51,1000051,215.49998812228503,400,31,159.99999349564345,17,254.9999881222839,31,215.49998812228503,31,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,52,1000052,208.99998925477453,400,28,242.49998964965366,27,228.9999892547734,28,208.99998925477453,28,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,53,1000053,207.49998926073502,400,28,239.49999002963327,26,227.49998926371413,28,207.49998926073502,28,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,54,1000054,131.49999078363365,400,24,139.49999233633307,20,141.49999117106273,23,131.49999078363365,24,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,55,1000055,183.99998963624427,400,27,200.49999042302397,25,203.9999896407135,27,183.99998963624427,27,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,56,1000056,253.9999873593388,400,33,308.4999873682856,33,273.99998736232294,33,253.9999873593388,33,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,57,1000057,215.49998963028375,400,27,252.49998964518326,27,235.49998963326286,27,215.49998963028375,27,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,58,1000058,153.9999892622251,400,28,124.49999310374292,18,165.99998964667395,27,153.9999892622251,28,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,59,1000059,287.4999873548707,400,33,99.99999579042205,11,237.49999002963347,26,287.4999873548707,33,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,60,1000060,255.99998848735615,400,30,269.99998925477263,28,275.99998848885076,30,255.99998848735615,30,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,61,1000061,269.4999881103566,400,31,279.4999888777731,29,289.49998811036113,31,269.4999881103566,31,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,62,1000062,269.9999877333568,400,32,293.4999881267541,31,279.99998811781126,31,269.9999877333568,32,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,63,1000063,237.49998849332016,400,30,273.4999888822433,29,262.49998849481096,30,237.49998849332016,30,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,64,1000064,117.49998934865184,400,29,184.99999128580123,24,143.49998935312107,29,117.49998934865184,29,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed,65,1000065,218.499989636244,400,27,253.49998964667316,27,238.999989637733,27,218.499989636244,27,False,True
