model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_goal_conditioning,0,1000000,122.99998849928508,400,30,265.99998927861463,28,163.49998850822467,30,122.99998849928508,30,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_goal_conditioning,1,1000001,227.4999888718144,400,29,253.99998926073332,28,247.49998887181326,29,227.4999888718144,29,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_goal_conditioning,2,1000002,261.4999873459275,400,33,265.9999885141849,30,271.4999877303819,32,261.4999873459275,33,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_goal_conditioning,3,1000003,263.9999873518879,400,33,283.99998813122517,31,283.99998735338255,33,263.9999873518879,33,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_goal_conditioning,4,1000004,205.99998963028375,400,27,225.99999040365236,25,225.9999896362431,27,205.99998963028375,27,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_goal_conditioning,5,1000005,196.49998925030414,400,28,186.9999923303726,20,216.49998925328325,28,196.49998925030414,28,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_goal_conditioning,6,1000006,226.999989625813,400,27,256.9999896302819,27,246.9999896287921,27,226.999989625813,27,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_goal_conditioning,7,1000007,257.99998773484754,400,32,274.9999888896941,29,277.99998773932236,32,257.99998773484754,32,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_goal_conditioning,8,1000008,136.4999907761831,400,24,198.49999118000295,23,156.49999078065233,24,136.4999907761831,24,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_goal_conditioning,9,1000009,190.99998858571192,400,31,250.99998975396173,28,210.99998859167127,31,190.99998858571192,31,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_goal_conditioning,10,1000010,248.99998772889225,400,32,250.9999892637135,28,258.9999881133419,31,248.99998772889225,32,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_goal_conditioning,11,1000011,324.9999858245181,400,37,347.49998621791536,36,344.999985830483,37,324.9999858245181,37,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_goal_conditioning,12,1000012,242.99998887777014,400,29,273.9999888852238,29,262.9999888822413,29,242.99998887777014,29,False,True
