model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_churn.v2.yaml,no_churn,0,1000000,267.4999881207873,400,31,289.4999885097143,30,287.499988123772,31,267.4999881207873,31,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_churn.v2.yaml,no_churn,1,1000001,224.4999888733038,400,29,270.49998888075316,29,244.49998887330267,29,224.4999888733038,29,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_churn.v2.yaml,no_churn,2,1000002,262.9999869644571,400,34,312.4999873533841,33,282.9999869674418,34,262.9999869644571,34,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_churn.v2.yaml,no_churn,3,1000003,265.999987356358,400,33,292.9999877437949,32,285.99998735934275,33,265.999987356358,33,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_churn.v2.yaml,no_churn,4,1000004,216.99998963475412,400,27,246.99998964667338,27,236.9999896362431,27,216.99998963475412,27,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_churn.v2.yaml,no_churn,5,1000005,212.9999892577546,400,28,187.99999232739222,20,232.9999892607337,28,212.9999892577546,28,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_churn.v2.yaml,no_churn,6,1000006,224.99998962730314,400,27,254.99998963475204,27,244.99998962879212,27,224.99998962730314,27,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_churn.v2.yaml,no_churn,7,1000007,270.9999877318671,400,32,295.4999881207941,31,290.99998773485186,32,270.9999877318671,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_churn.v2.yaml,no_churn,8,1000008,185.99999077916334,400,24,207.4999911695721,23,205.9999907791622,24,185.99999077916334,24,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_churn.v2.yaml,no_churn,9,1000009,253.9999881118473,400,31,283.99998849928363,30,273.99998811483147,31,253.9999881118473,31,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_churn.v2.yaml,no_churn,10,1000010,269.4999877288866,400,32,307.4999877318736,32,289.49998773038124,32,269.4999877288866,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_churn.v2.yaml,no_churn,11,1000011,326.9999858289884,400,37,359.99998583495557,37,346.9999858334632,37,326.9999858289884,37,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_churn.v2.yaml,no_churn,12,1000012,238.99998887479066,400,29,264.49998926520294,28,258.9999888777706,29,238.99998887479066,29,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_churn.v2.yaml,no_churn,13,1000013,193.99999077320285,400,24,225.99999078065176,24,213.99999077618196,24,193.99999077320285,24,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_churn.v2.yaml,no_churn,14,1000014,269.9999877303769,400,32,292.4999881252643,31,289.99998773485174,32,269.9999877303769,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_churn.v2.yaml,no_churn,15,1000015,304.9999865889476,400,35,329.9999869748944,34,324.99998658895214,35,304.9999865889476,35,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_churn.v2.yaml,no_churn,16,1000016,257.9999884918262,400,30,287.99998850226365,30,277.999988496301,30,257.9999884918262,30,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_churn.v2.yaml,no_churn,17,1000017,238.99998887330105,400,29,268.99998888373375,29,258.9999888777711,29,238.99998887330105,29,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_churn.v2.yaml,no_churn,18,1000018,234.99998924583093,400,28,264.99998925477234,28,254.99998924731992,28,234.99998924583093,28,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_churn.v2.yaml,no_churn,19,1000019,276.49998772739656,400,32,286.99998850226353,30,296.4999877303813,32,276.49998772739656,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_churn.v2.yaml,no_churn,20,1000020,266.4999881103563,400,31,296.4999881193037,31,286.4999881148311,31,266.4999881103563,31,False,True
