model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids,0,1000000,269.9999881237676,400,31,289.9999885112045,30,289.99998812526223,31,269.9999881237676,31,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids,1,1000001,249.9999888747881,400,29,269.99998926371336,28,269.9999888747909,29,249.9999888747881,29,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids,2,1000002,299.99998696445743,400,34,299.999988119304,31,319.99998696744217,34,299.99998696445743,34,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids,3,1000003,289.99998735784834,400,33,279.99998889118444,29,309.9999873608331,33,289.99998735784834,33,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids,4,1000004,229.9999896362438,400,27,219.9999911800029,23,249.99998963922292,27,229.9999896362438,27,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids,5,1000005,239.99998925030337,400,28,149.9999938681722,16,229.99999041110323,25,239.99998925030337,28,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids,6,1000006,229.9999896287921,400,27,259.9999896332618,27,249.99998962879096,27,229.9999896287921,27,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids,7,1000007,279.9999877378273,400,32,289.99998850375374,30,299.9999877378319,32,279.9999877378273,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids,8,1000008,199.99999078065346,400,24,219.99999117553259,23,219.99999078214245,24,199.99999078065346,24,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids,9,1000009,269.99998811184724,400,31,269.9999892786146,28,289.9999881163221,31,269.99998811184724,31,False,True
