model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_timeouts.v2.yaml,no_timeouts,0,1000000,253.99998850523812,400,30,274.49998889118433,29,273.99998850673217,30,253.99998850523812,30,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_timeouts.v2.yaml,no_timeouts,1,1000001,234.9999888733019,400,29,270.4999888822433,29,254.9999888747909,29,234.9999888733019,29,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_timeouts.v2.yaml,no_timeouts,2,1000002,279.9999869644572,400,34,297.9999881237741,31,299.99998696893203,34,279.9999869644572,34,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_timeouts.v2.yaml,no_timeouts,3,1000003,272.99998735039753,400,33,292.4999881252645,31,292.99998735785255,33,272.99998735039753,33,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_timeouts.v2.yaml,no_timeouts,4,1000004,223.99998963028372,400,27,234.49999040663258,25,243.99998963475295,27,223.99998963028372,27,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_timeouts.v2.yaml,no_timeouts,5,1000005,236.99998924881197,400,28,158.99999348223213,17,256.99998925328146,28,236.99998924881197,28,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_timeouts.v2.yaml,no_timeouts,6,1000006,224.4999896258132,400,27,254.49998963475224,27,244.4999896273022,27,224.4999896258132,27,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_timeouts.v2.yaml,no_timeouts,7,1000007,275.9999877363372,400,32,297.9999881237741,31,296.4999877363417,32,275.9999877363372,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_timeouts.v2.yaml,no_timeouts,8,1000008,181.49999077767322,400,24,216.49999079406285,24,201.49999078214245,24,181.49999077767322,24,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_timeouts.v2.yaml,no_timeouts,9,1000009,231.99998811483366,400,31,243.49998965561406,27,251.99998811632264,31,231.99998811483366,31,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_timeouts.v2.yaml,no_timeouts,10,1000010,267.99998773186684,400,32,290.99998812079383,31,277.9999881133411,31,267.99998773186684,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_timeouts.v2.yaml,no_timeouts,11,1000011,314.99998583047864,400,37,354.999985839426,37,334.99998583495346,37,314.99998583047864,37,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_timeouts.v2.yaml,no_timeouts,12,1000012,227.4999888777746,400,29,263.49998888671416,29,247.49998888224383,29,227.4999888777746,29,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_timeouts.v2.yaml,no_timeouts,13,1000013,190.99999077469295,400,24,200.99999154657144,22,210.99999077767205,24,190.99999077469295,24,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_timeouts.v2.yaml,no_timeouts,14,1000014,261.9999877333573,400,32,268.99998888969395,29,271.9999881178117,31,261.9999877333573,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_timeouts.v2.yaml,no_timeouts,15,1000015,307.4999865859676,400,35,327.49998697489457,34,327.4999865874622,35,307.4999865859676,35,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_timeouts.v2.yaml,no_timeouts,16,1000016,234.49998897314012,400,29,262.9999893635511,28,254.4999889746291,29,234.49998897314012,29,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_timeouts.v2.yaml,no_timeouts,17,1000017,230.99998897314128,400,29,267.49998888969435,29,250.9999889761204,29,230.99998897314128,29,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_timeouts.v2.yaml,no_timeouts,18,1000018,219.9999896317739,400,27,239.99999001920241,26,239.99998963177276,27,219.9999896317739,27,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_timeouts.v2.yaml,no_timeouts,19,1000019,263.999987730377,400,32,294.99998773932435,32,283.9999877363419,32,263.999987730377,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_timeouts.v2.yaml,no_timeouts,20,1000020,262.9999881103565,400,31,282.9999885022637,30,282.99998811483135,31,262.9999881103565,31,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_timeouts.v2.yaml,no_timeouts,21,1000021,266.4999873563578,400,33,299.9999877452848,32,286.49998735785243,33,266.4999873563578,33,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_timeouts.v2.yaml,no_timeouts,22,1000022,225.99998857975186,400,30,219.9999904125931,25,246.9999885857112,30,225.99998857975186,30,False,True
