model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__intensity_low.v2.yaml,intensity_low,0,1000000,260.9999881222775,400,31,278.9999888926742,29,280.99998812526223,31,260.9999881222775,31,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__intensity_low.v2.yaml,intensity_low,1,1000001,240.99998887330023,400,29,277.9999888807532,29,260.9999888733005,29,240.99998887330023,29,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__intensity_low.v2.yaml,intensity_low,2,1000002,293.99998696147713,400,34,324.9999869793651,34,313.99998696744206,34,293.99998696147713,34,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__intensity_low.v2.yaml,intensity_low,3,1000003,278.4999873518876,400,33,315.4999873623251,33,298.49998735338227,33,278.4999873518876,33,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__intensity_low.v2.yaml,intensity_low,4,1000004,227.99998963028358,400,27,237.99999040365233,25,247.9999896347528,27,227.99998963028358,27,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__intensity_low.v2.yaml,intensity_low,5,1000005,223.99998925775463,400,28,189.9999923303725,20,243.99998926073374,28,223.99998925775463,28,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__intensity_low.v2.yaml,intensity_low,6,1000006,229.99998962581273,400,27,249.99999001622217,26,249.99998962730172,27,229.99998962581273,27,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__intensity_low.v2.yaml,intensity_low,7,1000007,267.499987731867,400,32,284.9999885022637,30,287.49998773485174,32,267.499987731867,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__intensity_low.v2.yaml,intensity_low,8,1000008,189.49999078065346,400,24,215.99999117106222,23,209.49999078065233,24,189.49999078065346,24,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__intensity_low.v2.yaml,intensity_low,9,1000009,255.99998811482718,400,31,275.99998888820403,29,275.9999881163218,31,255.99998811482718,31,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__intensity_low.v2.yaml,intensity_low,10,1000010,271.49998772739673,400,32,286.99998849630333,30,291.49998772889137,32,271.49998772739673,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__intensity_low.v2.yaml,intensity_low,11,1000011,323.99998582898843,400,37,359.4999858364457,37,343.99998583346326,37,323.99998582898843,37,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__intensity_low.v2.yaml,intensity_low,12,1000012,246.49998887478864,400,29,276.4999888852234,29,266.49998887777065,29,246.49998887478864,29,False,True
