model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,full_dynamics,0,1000500,229.85000579953393,400,31,244.60000524371893,28,250.2000057995328,31,229.85000579953393,31,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,full_dynamics,1,1000501,156.6000042587539,400,23,164.50000374019177,20,179.2000042721638,23,156.6000042587539,23,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,full_dynamics,2,1000502,224.80000562072004,400,30,235.1000048860911,26,245.10000562369913,30,224.80000562072004,30,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,full_dynamics,3,1000503,99.90000368952853,400,20,114.60000279694782,15,120.00000369250763,20,99.90000368952853,20,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,full_dynamics,4,1000504,182.10000502169342,400,27,207.60000450909166,24,206.60000502765274,27,182.10000502169342,27,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,full_dynamics,5,1000505,126.4000042587538,400,23,183.60000409632934,22,147.60000426620323,23,126.4000042587538,23,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,full_dynamics,6,1000506,223.70000520944794,400,28,228.20000465214278,25,243.80000521242704,28,223.70000520944794,28,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,full_dynamics,7,1000507,221.20000560879907,400,30,270.7000054404142,29,241.90000561475838,30,221.20000560879907,30,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,full_dynamics,8,1000508,129.50000384152136,400,21,155.60000371784005,20,150.00000384450044,21,129.50000384152136,21,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,full_dynamics,9,1000509,61.30000388324341,400,21,50.00000242143852,13,81.70000388771285,21,61.30000388324341,21,False,True
