model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_branch_on_no_ids,0,1000000,269.9999881282387,400,31,249.9999900534752,26,289.9999881282433,31,269.9999881282387,31,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_branch_on_no_ids,1,1000001,249.99998887478853,400,29,249.99999003410363,26,269.99998887628146,29,249.99998887478853,29,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_branch_on_no_ids,2,1000002,299.99998696445743,400,34,299.9999881222842,31,319.99998696893226,34,299.99998696445743,34,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_branch_on_no_ids,3,1000003,289.9999873608282,400,33,309.9999877437948,32,309.99998736083273,33,289.9999873608282,33,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_branch_on_no_ids,4,1000004,229.99998963922403,400,27,239.9999904140832,25,249.9999896392229,27,229.99998963922403,27,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_branch_on_no_ids,5,1000005,239.9999892503038,400,28,99.99999577701095,11,219.99999079257293,24,239.9999892503038,28,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_branch_on_no_ids,6,1000006,229.99998962879306,400,27,249.99999001771226,26,249.99998962879192,27,229.99998962879306,27,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_branch_on_no_ids,7,1000007,279.99998773782767,400,32,289.99998851120455,30,299.9999877393223,32,279.99998773782767,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_branch_on_no_ids,8,1000008,199.99999078214358,400,24,209.99999156743317,22,219.99999078214245,24,199.99999078214358,24,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_branch_on_no_ids,9,1000009,269.9999881133374,400,31,269.99998927861463,28,289.9999881178122,31,269.9999881133374,31,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_branch_on_no_ids,10,1000010,279.9999877303777,400,32,259.99998966008445,27,289.99998811185196,31,279.9999877303777,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_branch_on_no_ids,11,1000011,329.99998583345865,400,37,359.99998583644566,37,349.9999858349533,37,329.99998583345865,37,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_branch_on_no_ids,12,1000012,249.99998887627862,400,29,259.99998966008445,27,269.99998888224184,29,249.99998887627862,29,False,True
