model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,zeroed_on_no_ids,0,1000000,269.99998812525837,400,31,269.99998928457524,28,289.9999881252629,31,269.99998812525837,31,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,zeroed_on_no_ids,1,1000001,249.89998887329838,400,29,259.899989654124,27,269.8999888747913,29,249.89998887329838,29,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,zeroed_on_no_ids,2,1000002,299.9999869659475,400,34,299.9999881267545,31,319.99998696893226,34,299.9999869659475,34,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,zeroed_on_no_ids,3,1000003,289.999987356358,400,33,309.9999877482652,32,309.99998736083285,33,289.999987356358,33,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,zeroed_on_no_ids,4,1000004,229.89998963922432,400,27,229.8999908000233,24,249.8999896407133,27,229.89998963922432,27,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,zeroed_on_no_ids,5,1000005,239.89998924881374,400,28,109.8999953955413,12,219.89999078959275,24,239.89998924881374,28,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,zeroed_on_no_ids,6,1000006,229.99998962730274,400,27,249.99999001622217,26,249.99998962879172,27,229.99998962730274,27,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,zeroed_on_no_ids,7,1000007,279.99998773633763,400,32,279.9999888911842,29,299.99998774081246,32,279.99998773633763,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,zeroed_on_no_ids,8,1000008,199.99999078214356,400,24,169.99999309927256,18,219.99999078512266,24,199.99999078214356,24,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,zeroed_on_no_ids,9,1000009,269.69998811631797,400,31,239.69999043047457,25,289.6999881178126,31,269.69998811631797,31,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,zeroed_on_no_ids,10,1000010,279.9999877318676,400,32,289.9999885126949,30,299.9999877333622,32,279.9999877318676,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,zeroed_on_no_ids,11,1000011,329.99998583345894,400,37,359.99998583942613,37,349.9999858334635,37,329.99998583345894,37,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,zeroed_on_no_ids,12,1000012,249.99998887627828,400,29,269.99998927116394,28,269.9999888837316,29,249.99998887627828,29,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,zeroed_on_no_ids,13,1000013,199.49999077469292,400,24,199.49999193996211,21,219.49999077469178,24,199.49999077469292,24,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,zeroed_on_no_ids,14,1000014,279.9999877363382,400,32,259.99998966306475,27,299.99998773783284,32,279.9999877363382,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,zeroed_on_no_ids,15,1000015,309.9999865904381,400,35,319.9999873623249,33,329.99998659044263,35,309.9999865904381,35,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,zeroed_on_no_ids,16,1000016,259.8999884948071,400,30,259.89998965561404,27,279.899988500772,30,259.8999884948071,30,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,zeroed_on_no_ids,17,1000017,249.4999888807502,400,29,219.499991193414,23,269.499988882243,29,249.4999888807502,29,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,zeroed_on_no_ids,18,1000018,239.99998924881018,400,28,259.9999896362425,27,259.99998924881015,28,239.99998924881018,28,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,zeroed_on_no_ids,19,1000019,279.9999877318671,400,32,289.999988505244,30,299.99998773336176,32,279.9999877318671,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,zeroed_on_no_ids,20,1000020,279.8999877318672,400,32,299.8999881267546,31,299.89998773485195,32,279.8999877318672,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,zeroed_on_no_ids,21,1000021,289.8999873608297,400,33,159.89999349415334,17,309.89998736083425,33,289.8999873608297,33,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,zeroed_on_no_ids,22,1000022,259.7999884888476,400,30,179.79999271780284,19,279.7999884918323,30,259.7999884888476,30,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,zeroed_on_no_ids,23,1000023,229.89998963177385,400,27,109.899995413423,12,199.89999157041393,22,229.89998963177385,27,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,zeroed_on_no_ids,24,1000024,-41.70000001043113,400,0,-11.500000010430787,0,-21.600000010430847,0,-41.70000001043113,0,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,zeroed_on_no_ids,25,1000025,229.89998963922397,400,27,249.89999004304434,26,249.89998963922284,27,229.89998963922397,27,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,zeroed_on_no_ids,26,1000026,209.99999040067385,400,25,229.99999079853322,24,229.99999040067271,25,209.99999040067385,25,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,zeroed_on_no_ids,27,1000027,229.899989628793,400,27,249.89999002367276,26,249.89998963326224,27,229.899989628793,27,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,zeroed_on_no_ids,28,1000028,289.99998734592697,400,33,299.99998812079394,31,309.9999873489117,33,289.99998734592697,33,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,zeroed_on_no_ids,29,1000029,329.99998582898905,400,37,319.99998736232516,33,349.9999858319738,37,329.99998582898905,37,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,zeroed_on_no_ids,30,1000030,249.89998887776807,400,29,269.899989262223,28,269.89998887777085,29,249.89998887776807,29,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,zeroed_on_no_ids,31,1000031,339.9999854490093,400,38,349.99998622387625,36,359.999985451994,38,339.9999854490093,38,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,zeroed_on_no_ids,32,1000032,279.899987730377,400,32,269.8999892666933,28,299.89998773038155,32,279.899987730377,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,zeroed_on_no_ids,33,1000033,259.89998849778726,400,30,289.8999885201455,30,279.8999885022621,30,259.89998849778726,30,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,zeroed_on_no_ids,34,1000034,309.8999865874579,400,35,319.89998736679513,33,329.899986596403,35,309.8999865874579,35,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,zeroed_on_no_ids,35,1000035,-41.00000001192123,400,0,-10.500000008940678,0,-20.800000010430836,0,-41.00000001192123,0,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,zeroed_on_no_ids,36,1000036,69.89999577850307,400,11,69.89999692738093,8,69.89999654293152,9,69.89999577850307,11,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,zeroed_on_no_ids,37,1000037,269.8999881163188,400,31,189.89999234527383,20,289.89998811632336,31,269.8999881163188,31,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,zeroed_on_no_ids,38,1000038,349.799985046678,400,39,369.7999854549762,38,369.7999850511528,39,349.799985046678,39,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,zeroed_on_no_ids,39,1000039,269.99998811482703,400,31,279.9999888882039,29,289.9999881148316,31,269.99998811482703,31,False,True
