model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,horizon_800,0,1000000,210.49998850226015,800,30,274.49998889118433,29,273.99998850673217,30,253.99998850523812,30,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,horizon_800,1,1000001,182.99998887181405,800,29,270.4999888822433,29,254.9999888747909,29,234.9999888733019,29,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,horizon_800,2,1000002,225.99998695998596,800,34,326.4999869748946,34,286.9999869674419,34,266.99998696445715,34,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,horizon_800,3,1000003,223.4999873503975,800,33,281.9999885067342,30,283.99998735785255,33,263.9999873533777,33,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,horizon_800,4,1000004,183.99998962879587,800,27,233.9999904081227,25,243.99998963624307,27,223.99998963028372,27,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,horizon_800,5,1000005,197.499989248814,800,28,157.99999348372225,17,257.99998925179136,28,237.99998924881172,28,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,horizon_800,6,1000006,181.99998962283524,800,27,254.49998963475224,27,244.4999896273022,27,224.4999896258132,27,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,horizon_800,7,1000007,223.99998773186704,800,32,291.49998812377453,31,285.49998773783227,32,264.9999877378277,32,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,horizon_800,8,1000008,139.9999907776755,800,24,216.49999079406285,24,201.49999078214245,24,181.49999078065346,24,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,horizon_800,9,1000009,190.99998811036426,800,31,265.49998889416474,29,258.99998811483204,31,238.99998811334223,31,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,horizon_800,10,1000010,228.9999877318655,800,32,288.999988122284,31,288.99998773187144,32,268.9999877318669,32,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,horizon_800,11,1000011,264.4999863058166,800,37,344.4999866977329,36,324.4999863103005,37,304.4999863058257,37,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,horizon_800,12,1000012,186.99998887628675,800,29,263.49998888671416,29,247.49998888224383,29,227.4999888777746,29,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,horizon_800,13,1000013,148.49999076873473,800,24,197.9999919235708,21,198.49999115467142,23,178.49999115318244,23,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,horizon_800,14,1000014,211.99998811185014,800,31,268.99998888969395,29,271.9999881178117,31,251.9999881148281,31,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,horizon_800,15,1000015,267.4999865859585,800,35,327.49998697489457,34,327.4999865874622,35,307.4999865859676,35,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,horizon_800,16,1000016,201.99998849481105,800,30,270.4999888837335,29,267.99998849779126,30,247.99998849778902,30,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,horizon_800,17,1000017,188.4999889686732,800,29,267.49998888969435,29,250.9999889761204,29,230.99998897314128,29,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,horizon_800,18,1000018,189.99998924881595,800,28,240.99999002218266,26,250.9999892532829,28,230.99998925179392,28,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,horizon_800,19,1000019,204.4999877318711,800,32,284.9999881252644,31,274.99998773336176,32,249.99998773335895,32,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,horizon_800,20,1000020,209.99998810738032,800,31,269.9999885067341,30,269.99998811632156,31,249.9999881118484,31,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,horizon_800,21,1000021,226.49998735337687,800,33,299.9999877452848,32,286.49998735785243,33,266.4999873563578,33,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,horizon_800,22,1000022,191.49998847842556,800,30,229.49999003112336,26,252.999988488853,30,231.99998848289366,30,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,horizon_800,23,1000023,152.4999896332663,800,27,206.99999078810237,24,212.99998963624313,27,192.99998963475414,27,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,horizon_800,24,1000024,97.89999191910434,800,21,171.39999232590216,20,158.89999192655154,21,138.3999919220823,21,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,horizon_800,25,1000025,166.4999896287959,800,27,214.99999079108258,24,226.4999896362431,27,206.49998963624424,27,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,horizon_800,26,1000026,143.499990771715,800,24,218.99999079555297,24,203.99999078363257,24,183.9999907761831,24,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,horizon_800,27,1000027,176.4999896273058,800,27,229.99999040067215,25,239.49998963326289,27,219.49998963028378,27,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,horizon_800,28,1000028,242.49998734443074,800,33,304.4999877378338,32,304.49998735040145,33,284.4999873474167,33,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,horizon_800,29,1000029,257.99998582748964,800,37,289.9999877467748,32,314.49998621344326,36,304.49998582749873,37,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,horizon_800,30,1000030,178.99998887330548,800,29,264.49998926222304,28,250.49998887777244,29,230.49998887479333,29,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,horizon_800,31,1000031,283.9999858289798,800,37,347.99998622536634,36,347.4999858349538,37,327.4999858289889,37,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,horizon_800,32,1000032,218.99998810737708,800,31,294.9999881207939,31,280.99998811185105,31,260.9999881088663,31,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,horizon_800,33,1000033,187.99998849630768,800,30,251.49998889118453,29,237.9999888852246,29,217.9999888822455,29,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,horizon_800,34,1000034,239.99998697041303,800,34,313.49998736083467,33,302.4999869734023,34,282.49998697339777,34,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,horizon_800,35,1000035,142.49998922348433,800,28,232.49999000877165,26,209.99998923242165,28,189.99998922944255,28,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,horizon_800,36,1000036,133.49999038875512,800,25,186.4999919310214,21,195.99999039620232,25,175.99999039322321,25,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,horizon_800,37,1000037,216.49998811184935,800,31,256.9999892756344,28,276.49998811781217,31,256.49998811482743,31,False,True
