model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled_seed2,0,1000000,161.49998812079454,400,31,283.4999885126946,30,213.49998812526377,31,161.49998812079454,31,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled_seed2,1,1000001,193.99998886883364,400,29,245.49998964369317,27,233.49998887181275,29,193.99998886883364,29,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled_seed2,2,1000002,218.499986958502,400,34,302.9999873578545,33,257.99998696595185,34,218.499986958502,34,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled_seed2,3,1000003,207.49998744577107,400,33,284.9999885097145,30,249.49998745173042,33,207.49998744577107,33,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled_seed2,4,1000004,156.49999020099816,400,27,219.99999060630813,26,195.99999020844763,27,156.49999020099816,27,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled_seed2,5,1000005,162.99998925179423,400,28,176.99999271333243,19,206.49998926073383,28,162.99998925179423,28,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled_seed2,6,1000006,197.49998962730297,400,27,256.9999896362421,27,232.49998963028207,27,197.49998962730297,27,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled_seed2,7,1000007,211.99998773187366,400,32,275.9999881267546,31,249.4999877363429,32,211.99998773187366,32,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled_seed2,8,1000008,87.49999077022261,400,24,204.4999911695721,23,132.49999077767208,24,87.49999077022261,24,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled_seed2,9,1000009,175.49998858720235,400,31,213.99999089539065,25,229.99998859763207,31,175.49998858720235,31,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled_seed2,10,1000010,198.99998772442362,400,32,268.4999885007737,30,231.99998772740273,32,198.99998772442362,32,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled_seed2,11,1000011,268.9999859213757,400,37,358.4999858424061,37,306.4999859273406,37,268.9999859213757,37,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled_seed2,12,1000012,177.49998887181454,400,29,250.4999892681839,28,221.49998887330352,29,177.49998887181454,29,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled_seed2,13,1000013,153.49999077469278,400,24,118.49999385625136,16,164.99999154210147,22,153.49999077469278,24,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled_seed2,14,1000014,192.89998773038442,400,32,265.9999885126947,30,243.49998773634377,32,192.89998773038442,32,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled_seed2,15,1000015,265.9999865859678,400,35,308.9999873623249,33,300.99998658746244,35,265.9999865859678,35,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled_seed2,16,1000016,207.99998848885218,400,30,277.99998850673416,30,250.99998849481153,30,207.99998848885218,30,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled_seed2,17,1000017,119.99998887479444,400,29,268.9999888926744,29,184.49998887926367,29,119.99998887479444,29,False,True
