label                                         configured   measured      n               95% CI  ok
service_dynamics.churn_probability                0.0000        nan      0                  n/a  MISMATCH
network_reliability.timeout_probability           0.0000        nan      0                  n/a  MISMATCH
scan_noise.service_scan.false_positive_rate       0.0000     0.0000  33014       [0.000, 0.000]  OK
scan_noise.service_scan.false_negative_rate       0.0000     0.0000  21386       [0.000, 0.000]  OK
scan_noise.os_scan.false_positive_rate            0.0000     0.0000   1700       [0.000, 0.002]  OK
scan_noise.os_scan.false_negative_rate            0.0000     0.0000   1700       [0.000, 0.002]  OK
scan_noise.process_scan.false_positive_rate       0.0000     0.0000   6817       [0.000, 0.001]  OK
scan_noise.process_scan.false_negative_rate       0.0000     0.0000   1425       [0.000, 0.003]  OK

Wrote results/2026-09-24/exp7_verify_intensity_off.json
