model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit,ids_detections,ids_quarantine,ids_patch,ids_monitor,ids_first_step,ids_max_level,ids_increases
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_capture_sensitive_host,0,1000000,253.99998850225793,400,30,274.49998889118433,29,273.9999885052421,30,253.99998850225793,30,False,True,6,0,2,4,18,2.33229516106608,231
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_capture_sensitive_host,1,1000001,234.99998887330193,400,29,270.4999888822433,29,254.9999888733008,29,234.99998887330193,29,False,True,15,1,2,12,63,4.949498661087863,235
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_capture_sensitive_host,2,1000002,264.4999869644572,400,34,326.4999869748947,34,284.49998696744194,34,264.4999869644572,34,False,True,23,3,7,13,77,7.213958896289422,252
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_capture_sensitive_host,3,1000003,263.9999873548678,400,33,281.9999885067342,30,283.99998735785255,33,263.9999873548678,33,False,True,13,2,7,4,60,3.3881492578447583,216
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_capture_sensitive_host,4,1000004,223.99998963028372,400,27,233.9999904081227,25,243.99998963624307,27,223.99998963028372,27,False,True,6,0,2,4,39,3.790508837844758,213
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_capture_sensitive_host,5,1000005,237.99998924881172,400,28,157.99999348372225,17,257.99998925179136,28,237.99998924881172,28,False,True,1,0,1,0,88,0.9907581851999999,202
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_capture_sensitive_host,6,1000006,224.4999896258132,400,27,254.49998963475224,27,244.4999896273022,27,224.4999896258132,27,False,True,2,1,0,1,79,0.9907581851999999,212
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_capture_sensitive_host,7,1000007,265.49998773335744,400,32,291.49998812377453,31,285.49998773932236,32,265.49998773335744,32,False,True,8,2,1,5,37,7.592656514108783,235
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_capture_sensitive_host,8,1000008,181.49999078065346,400,24,216.49999079406285,24,201.49999078214245,24,181.49999078065346,24,False,True,10,2,3,5,69,2.74286616106608,204
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_capture_sensitive_host,9,1000009,233.4999881118532,400,31,255.49998927414433,28,253.4999881133422,31,233.4999881118532,31,False,True,31,2,8,21,20,15.99858546073392,259
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_capture_sensitive_host,10,1000010,266.9999877318669,400,32,288.999988122284,31,286.99998773187144,32,266.9999877318669,32,False,True,8,0,6,2,69,6.217608687866105,224
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_capture_sensitive_host,11,1000011,308.4999863073158,400,37,339.99998670071307,36,328.4999863117906,37,308.4999863073158,37,False,True,10,2,5,3,38,2.74286616106608,209
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_capture_sensitive_host,12,1000012,227.49998887926472,400,29,263.49998888671416,29,247.49998888224383,29,227.49998887926472,29,False,True,12,3,2,7,31,4.949498661087863,223
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_capture_sensitive_host,13,1000013,178.49999115318244,400,23,197.9999919235708,21,198.49999115467142,23,178.49999115318244,23,False,True,8,1,2,5,39,3.790508837844758,231
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_capture_sensitive_host,14,1000014,266.4999877318672,400,32,272.99998888969395,29,286.499987736342,32,266.4999877318672,32,False,True,12,0,5,7,27,7.592656514108783,225
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_capture_sensitive_host,15,1000015,307.4999865859676,400,35,327.49998697489457,34,327.4999865874622,35,307.4999865859676,35,False,True,2,0,1,1,69,1.8088430214959998,220
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_capture_sensitive_host,16,1000016,247.99998849778902,400,30,270.4999888837335,29,267.99998849779126,30,247.99998849778902,30,False,True,12,0,4,8,39,4.949498661087863,206
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_capture_sensitive_host,17,1000017,230.99998897314128,400,29,267.49998888969435,29,250.9999889761204,29,230.99998897314128,29,False,True,14,1,5,8,50,4.240137808034105,222
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_capture_sensitive_host,18,1000018,233.4999892503026,400,28,253.49998963773268,27,253.49998925030147,28,233.4999892503026,28,False,True,4,1,0,3,57,1.8088430214959998,231
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_capture_sensitive_host,19,1000019,263.9999877318671,400,32,284.9999881252644,31,283.99998773485186,32,263.9999877318671,32,False,True,11,2,1,8,23,7.592656514108783,231
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_capture_sensitive_host,20,1000020,249.99998811333856,400,31,274.4999885082242,30,269.99998811632156,31,249.99998811333856,31,False,True,10,2,4,4,74,6.247686011873424,229
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_capture_sensitive_host,21,1000021,252.4999873474185,400,33,291.99998774528507,32,272.4999873578527,33,252.4999873474185,33,False,True,18,5,4,9,53,2.912751257844758,238
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_capture_sensitive_host,22,1000022,223.49998848140416,400,30,229.49999002963324,26,243.4999884873635,30,223.49998848140416,30,False,True,22,4,5,13,21,7.592656514108783,262
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_capture_sensitive_host,23,1000023,199.99998963475414,400,27,206.99999078810237,24,219.99998963773325,27,199.99998963475414,27,False,True,18,3,5,10,31,4.5551862726878625,232
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_capture_sensitive_host,24,1000024,138.3999919220823,400,21,171.39999232590216,20,158.89999192655154,21,138.3999919220823,21,False,True,27,1,9,17,24,19.320685626831438,237
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_capture_sensitive_host,25,1000025,205.99998963624424,400,27,214.99999079108258,24,225.9999896362431,27,205.99998963624424,27,False,True,15,2,5,8,52,4.5551862726878625,221
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_capture_sensitive_host,26,1000026,183.99999077469298,400,24,218.99999079555297,24,203.99999078214245,24,183.99999077469298,24,False,True,11,1,4,6,36,3.3881492578447583,213
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_capture_sensitive_host,27,1000027,219.49998963028378,400,27,229.99999040067215,25,239.49998963326289,27,219.49998963028378,27,False,True,6,1,2,3,39,3.3881492578447583,205
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_capture_sensitive_host,28,1000028,284.4999873474167,400,33,304.4999877378338,32,304.49998735040145,33,284.4999873474167,33,False,True,2,1,0,1,70,1.389893021496,206
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_capture_sensitive_host,29,1000029,293.99998620747834,400,36,289.9999877467748,32,313.99998621195317,36,293.99998620747834,36,False,True,16,2,6,8,50,6.217608687866105,252
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_capture_sensitive_host,30,1000030,228.4999888733034,400,29,264.49998926222304,28,248.49998887777264,29,228.4999888733034,29,False,True,16,1,6,9,67,6.217608687866105,232
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_capture_sensitive_host,31,1000031,325.49998583196907,400,37,347.99998622536634,36,345.4999858349538,37,325.49998583196907,37,False,True,3,0,2,1,52,1.389893021496,222
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_capture_sensitive_host,32,1000032,273.9999877259065,400,32,294.9999881207939,31,283.99998811185105,31,273.9999877259065,32,False,True,6,0,2,4,79,4.5551862726878625,229
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_capture_sensitive_host,33,1000033,217.9999888822455,400,29,251.49998889118453,29,237.9999888852246,29,217.9999888822455,29,False,True,16,4,4,8,27,4.949498661087863,234
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_capture_sensitive_host,34,1000034,282.4999869719077,400,34,313.49998736083467,33,302.4999869734023,34,282.4999869719077,34,False,True,14,1,4,9,65,4.949498661087863,222
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_capture_sensitive_host,35,1000035,184.99998922944255,400,28,232.49999000877165,26,204.99998923242165,28,184.99998922944255,28,False,True,35,4,13,18,35,9.072503383826607,250
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_capture_sensitive_host,36,1000036,187.49999039620346,400,25,208.99999078959246,24,207.49999039769244,25,187.49999039620346,25,False,True,15,1,7,7,20,7.592656514108783,214
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_capture_sensitive_host,37,1000037,256.49998811333734,400,31,256.9999892756344,28,276.49998811781217,31,256.49998811333734,31,False,True,12,0,5,7,20,4.949498661087863,221
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_capture_sensitive_host,38,1000038,349.99998505859867,400,39,369.99998545199594,38,369.9999850630735,39,349.99998505859867,39,False,True,0,0,0,0,-1,0.7908190214959999,226
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_capture_sensitive_host,39,1000039,242.49998808949906,400,31,286.999988104403,31,262.49998809247995,31,242.49998808949906,31,False,True,16,3,4,9,40,7.592656514108783,217
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_capture_sensitive_host,40,1000040,203.99998925030414,400,28,236.49999003261348,26,223.99998925179312,28,203.99998925030414,28,False,True,24,2,10,12,37,12.338252249827073,251
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_capture_sensitive_host,41,1000041,269.99998735188734,400,33,300.9999873623248,33,289.999987353382,33,269.99998735188734,33,False,True,10,2,4,4,62,3.549071232687863,210
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_capture_sensitive_host,42,1000042,261.99998811631696,400,31,297.49998812526434,31,281.9999881193017,31,261.99998811631696,31,False,True,4,1,1,2,40,3.790508837844758,204
