model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit,ids_detections,ids_quarantine,ids_patch,ids_monitor,ids_first_step,ids_max_level,ids_increases
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_discover_subnet,0,1000000,252.49998850374843,400,30,274.49998889118433,29,272.49998850673217,30,252.49998850374843,30,False,True,6,0,3,3,18,2.33229516106608,226
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_discover_subnet,1,1000001,234.99998887330193,400,29,270.4999888822433,29,254.9999888733008,29,234.99998887330193,29,False,True,15,1,2,12,63,4.949498661087863,242
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_discover_subnet,2,1000002,264.4999869644572,400,34,326.4999869748947,34,284.49998696744194,34,264.4999869644572,34,False,True,23,3,7,13,77,7.213958896289422,256
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_discover_subnet,3,1000003,263.9999873518876,400,33,281.9999885067342,30,283.99998735785255,33,263.9999873518876,33,False,True,13,2,7,4,60,3.3881492578447583,234
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_discover_subnet,4,1000004,223.99998963028372,400,27,233.9999904081227,25,243.99998963624307,27,223.99998963028372,27,False,True,6,0,2,4,39,3.790508837844758,215
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_discover_subnet,5,1000005,230.99998925477422,400,28,157.99999348372225,17,250.99998925924345,28,230.99998925477422,28,False,True,3,1,2,0,88,1.389893021496,191
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_discover_subnet,6,1000006,224.4999896273033,400,27,254.4999896347522,27,244.4999896287923,27,224.4999896273033,27,False,True,2,1,0,1,79,0.9907581851999999,214
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_discover_subnet,7,1000007,265.49998773335744,400,32,291.49998812377453,31,285.49998773932236,32,265.49998773335744,32,False,True,8,2,1,5,37,6.217608687866105,229
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_discover_subnet,8,1000008,181.49999078065346,400,24,216.49999079406285,24,201.49999078214245,24,181.49999078065346,24,False,True,10,2,3,5,69,2.74286616106608,215
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_discover_subnet,9,1000009,226.99998811334353,400,31,265.49998889416474,29,246.9999881133424,31,226.99998811334353,31,False,True,32,3,9,20,20,15.99858546073392,256
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_discover_subnet,10,1000010,266.9999877318669,400,32,288.999988122284,31,286.99998773187144,32,266.9999877318669,32,False,True,8,0,6,2,69,6.217608687866105,220
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_discover_subnet,11,1000011,307.4999863073158,400,37,344.4999866977329,36,327.49998630881043,37,307.4999863073158,37,False,True,18,0,9,9,38,6.217608687866105,231
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_discover_subnet,12,1000012,225.49998887777463,400,29,263.49998888671416,29,245.4999888792636,29,225.49998887777463,29,False,True,13,3,3,7,31,4.949498661087863,219
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_discover_subnet,13,1000013,178.49999115616268,400,23,197.9999919235708,21,198.49999115616154,23,178.49999115616268,23,False,True,8,1,2,5,39,3.790508837844758,232
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_discover_subnet,14,1000014,266.4999877303771,400,32,272.99998888969395,29,286.499987736342,32,266.4999877303771,32,False,True,12,0,5,7,27,7.592656514108783,224
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_discover_subnet,15,1000015,309.49998658745767,400,35,329.4999869734045,34,329.4999865874622,35,309.49998658745767,35,False,True,1,0,0,1,69,0.9907581851999999,195
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_discover_subnet,16,1000016,247.99998849629893,400,30,270.4999888837335,29,267.99998849779126,30,247.99998849629893,30,False,True,12,0,4,8,39,4.949498661087863,209
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_discover_subnet,17,1000017,232.49998887628334,400,29,269.49998888820426,29,252.49998887926245,29,232.49998887628334,29,False,True,11,2,2,7,50,2.74286616106608,214
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_discover_subnet,18,1000018,226.49998925030417,400,28,251.49998963773268,27,246.49998925030303,28,226.49998925030417,28,False,True,6,2,1,3,53,2.74286616106608,230
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_discover_subnet,19,1000019,259.9999877318671,400,32,284.9999881252644,31,279.99998773485186,32,259.9999877318671,32,False,True,13,2,3,8,23,7.592656514108783,231
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_discover_subnet,20,1000020,249.99998811333856,400,31,274.4999885082242,30,269.99998811632156,31,249.99998811333856,31,False,True,10,2,4,4,74,6.247686011873424,229
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_discover_subnet,21,1000021,264.49998734592714,400,33,299.9999877452848,32,284.49998735487225,33,264.49998734592714,33,False,True,15,3,3,9,53,6.217608687866105,234
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_discover_subnet,22,1000022,231.99998848289366,400,30,229.49999003112336,26,252.999988488853,30,231.99998848289366,30,False,True,23,2,5,16,21,7.592656514108783,258
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_discover_subnet,23,1000023,192.99998963475414,400,27,206.99999078810237,24,212.99998963624313,27,192.99998963475414,27,False,True,20,4,6,10,31,4.949498661087863,247
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_discover_subnet,24,1000024,132.8999919220823,400,21,156.39999270439165,19,153.3999919250614,21,132.8999919220823,21,False,True,23,4,5,14,24,26.099683866488732,245
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_discover_subnet,25,1000025,205.99998963624424,400,27,214.99999079108258,24,225.9999896362431,27,205.99998963624424,27,False,True,15,2,5,8,52,4.5551862726878625,237
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_discover_subnet,26,1000026,186.4999907761831,400,24,210.99999117553259,23,210.49999078065233,24,186.4999907761831,24,False,True,12,0,5,7,36,3.3881492578447583,208
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_discover_subnet,27,1000027,219.99998963028378,400,27,249.99998963773268,27,239.99998963326289,27,219.99998963028378,27,False,True,5,1,2,2,39,1.84719516106608,208
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_discover_subnet,28,1000028,284.4999873474167,400,33,304.4999877378338,32,304.49998735040145,33,284.4999873474167,33,False,True,2,1,0,1,70,1.389893021496,222
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_discover_subnet,29,1000029,303.99998582600864,400,37,289.9999877467748,32,313.99998621195317,36,303.99998582600864,37,False,True,16,2,6,8,50,6.217608687866105,252
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_discover_subnet,30,1000030,224.999988873304,400,29,265.99998926371336,28,244.99998887777323,29,224.999988873304,29,False,True,14,3,3,8,67,6.217608687866105,247
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_discover_subnet,31,1000031,334.99998545049937,400,38,347.99998622685644,36,354.9999854534841,38,334.99998545049937,38,False,True,4,0,2,2,52,1.389893021496,217
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_discover_subnet,32,1000032,270.9999877259065,400,32,294.9999881207939,31,280.99998811185105,31,270.9999877259065,32,False,True,9,0,3,6,79,4.5551862726878625,227
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_discover_subnet,33,1000033,228.49998888373506,400,29,255.99998927563448,28,248.49998888671416,29,228.49998888373506,29,False,True,13,2,4,7,27,3.790508837844758,225
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_discover_subnet,34,1000034,295.9999865963985,400,35,270.99998889118393,29,305.99998697936286,34,295.9999865963985,35,False,True,16,0,4,12,62,7.592656514108783,228
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_discover_subnet,35,1000035,189.99998922944255,400,28,232.49999000877165,26,209.99998923242165,28,189.99998922944255,28,False,True,34,3,13,18,35,7.592656514108783,247
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_discover_subnet,36,1000036,176.49999039620346,400,25,191.9999919295313,21,196.49999039769244,25,176.49999039620346,25,False,True,22,4,3,15,42,15.99858546073392,235
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_discover_subnet,37,1000037,256.49998811482743,400,31,256.9999892756344,28,276.49998811781217,31,256.49998811482743,31,False,True,12,0,5,7,20,4.949498661087863,233
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_discover_subnet,38,1000038,349.99998505859867,400,39,369.99998545199594,38,369.9999850630735,39,349.99998505859867,39,False,True,0,0,0,0,-1,0.7908190214959999,231
