model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit,ids_detections,ids_quarantine,ids_patch,ids_monitor,ids_first_step,ids_max_level,ids_increases
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_enumerate_host,0,1000000,252.4999885037484,400,30,274.49998889118433,29,272.49998850673217,30,252.4999885037484,30,False,True,6,0,3,3,18,2.33229516106608,213
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_enumerate_host,1,1000001,234.99998887330193,400,29,270.4999888822433,29,254.9999888733008,29,234.99998887330193,29,False,True,15,1,2,12,63,4.949498661087863,235
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_enumerate_host,2,1000002,264.49998696445715,400,34,326.4999869748946,34,284.4999869674419,34,264.49998696445715,34,False,True,23,3,7,13,77,7.213958896289422,256
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_enumerate_host,3,1000003,263.9999873518876,400,33,281.9999885067342,30,283.99998735785255,33,263.9999873518876,33,False,True,13,2,7,4,60,3.3881492578447583,231
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_enumerate_host,4,1000004,223.99998963028372,400,27,233.9999904081227,25,243.99998963624307,27,223.99998963028372,27,False,True,6,0,2,4,39,3.790508837844758,217
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_enumerate_host,5,1000005,229.9999892488137,400,28,179.49999271929264,19,249.9999892517928,28,229.9999892488137,28,False,True,5,1,2,2,68,1.389893021496,195
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_enumerate_host,6,1000006,224.4999896258132,400,27,254.49998963475224,27,244.4999896273022,27,224.4999896258132,27,False,True,2,1,0,1,79,0.9907581851999999,212
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_enumerate_host,7,1000007,264.9999877378277,400,32,291.49998812377453,31,285.49998773783227,32,264.9999877378277,32,False,True,9,2,1,6,37,7.592656514108783,242
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_enumerate_host,8,1000008,181.49999077916334,400,24,216.49999079406285,24,201.49999078214245,24,181.49999077916334,24,False,True,10,2,3,5,69,2.74286616106608,210
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_enumerate_host,9,1000009,225.4999881118535,400,31,255.49998927414433,28,245.49998811334248,31,225.4999881118535,31,False,True,32,3,10,19,20,15.99858546073392,245
