model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit,ids_detections,ids_quarantine,ids_patch,ids_monitor,ids_first_step,ids_max_level,ids_increases
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_gain_initial_access,0,1000000,253.99998850523812,400,30,274.49998889118433,29,273.99998850673217,30,253.99998850523812,30,False,True,6,0,2,4,18,2.33229516106608,220
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_gain_initial_access,1,1000001,234.9999888733019,400,29,270.4999888822433,29,254.9999888747909,29,234.9999888733019,29,False,True,15,1,2,12,63,4.949498661087863,240
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_gain_initial_access,2,1000002,266.99998696445715,400,34,326.4999869748946,34,286.9999869674419,34,266.99998696445715,34,False,True,21,2,9,10,77,5.831182547234104,252
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_gain_initial_access,3,1000003,263.9999873533777,400,33,281.9999885067342,30,283.99998735785255,33,263.9999873533777,33,False,True,13,2,7,4,60,3.3881492578447583,226
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_gain_initial_access,4,1000004,223.99998963028372,400,27,233.9999904081227,25,243.99998963624307,27,223.99998963028372,27,False,True,6,0,2,4,39,3.790508837844758,217
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_gain_initial_access,5,1000005,237.99998924881172,400,28,157.99999348372225,17,257.99998925179136,28,237.99998924881172,28,False,True,1,0,1,0,88,0.9907581851999999,205
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_gain_initial_access,6,1000006,224.4999896258132,400,27,254.49998963475224,27,244.4999896273022,27,224.4999896258132,27,False,True,2,1,0,1,79,0.9907581851999999,211
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_gain_initial_access,7,1000007,264.9999877378277,400,32,291.49998812377453,31,285.49998773783227,32,264.9999877378277,32,False,True,9,2,1,6,37,7.592656514108783,244
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_gain_initial_access,8,1000008,181.49999078065346,400,24,216.49999079406285,24,201.49999078214245,24,181.49999078065346,24,False,True,10,2,3,5,69,2.74286616106608,215
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_gain_initial_access,9,1000009,238.99998811483235,400,31,265.49998889416474,29,258.99998811483204,31,238.99998811483235,31,False,True,32,1,7,24,20,15.99858546073392,253
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_gain_initial_access,10,1000010,268.9999877318669,400,32,288.999988122284,31,288.99998773187144,32,268.9999877318669,32,False,True,7,0,5,2,69,6.217608687866105,215
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_gain_initial_access,11,1000011,304.4999863058257,400,37,344.4999866977329,36,324.4999863103005,37,304.4999863058257,37,False,True,18,1,8,9,38,6.217608687866105,229
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_gain_initial_access,12,1000012,227.4999888777746,400,29,263.49998888671416,29,247.49998888224383,29,227.4999888777746,29,False,True,12,3,2,7,31,4.949498661087863,226
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_gain_initial_access,13,1000013,178.49999115318244,400,23,197.9999919235708,21,198.49999115467142,23,178.49999115318244,23,False,True,8,1,2,5,39,3.790508837844758,229
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_gain_initial_access,14,1000014,251.9999881148281,400,31,268.99998888969395,29,271.9999881178117,31,251.9999881148281,31,False,True,12,1,5,6,27,7.592656514108783,216
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_gain_initial_access,15,1000015,307.4999865859676,400,35,327.49998697489457,34,327.4999865874622,35,307.4999865859676,35,False,True,2,0,1,1,69,1.8088430214959998,218
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_gain_initial_access,16,1000016,247.99998849778902,400,30,270.4999888837335,29,267.99998849779126,30,247.99998849778902,30,False,True,12,0,4,8,39,4.949498661087863,206
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_gain_initial_access,17,1000017,230.99998897314128,400,29,267.49998888969435,29,250.9999889761204,29,230.99998897314128,29,False,True,14,1,5,8,50,4.240137808034105,223
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_gain_initial_access,18,1000018,230.99998925179392,400,28,240.99999002218266,26,250.9999892532829,28,230.99998925179392,28,False,True,6,1,1,4,53,1.8088430214959998,225
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_gain_initial_access,19,1000019,249.99998773335895,400,32,284.9999881252644,31,274.99998773336176,32,249.99998773335895,32,False,True,21,3,4,14,23,12.338252249827073,246
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_gain_initial_access,20,1000020,249.9999881118484,400,31,269.9999885067341,30,269.99998811632156,31,249.9999881118484,31,False,True,7,3,2,2,74,3.549071232687863,227
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_gain_initial_access,21,1000021,266.4999873548677,400,33,299.9999877452848,32,286.49998735785243,33,266.4999873548677,33,False,True,14,2,5,7,53,6.217608687866105,234
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_gain_initial_access,22,1000022,231.99998848289366,400,30,229.49999003112336,26,252.999988488853,30,231.99998848289366,30,False,True,23,2,5,16,21,7.592656514108783,258
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_gain_initial_access,23,1000023,192.99998963475414,400,27,206.99999078810237,24,212.99998963624313,27,192.99998963475414,27,False,True,20,4,6,10,31,4.949498661087863,241
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_gain_initial_access,24,1000024,138.3999919220823,400,21,171.39999232590216,20,158.89999192655154,21,138.3999919220823,21,False,True,27,1,9,17,24,19.320685626831438,237
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_gain_initial_access,25,1000025,206.49998963624424,400,27,214.99999079108258,24,226.4999896362431,27,206.49998963624424,27,False,True,14,2,5,7,52,4.5551862726878625,238
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_gain_initial_access,26,1000026,183.9999907761831,400,24,218.99999079555297,24,203.99999078363257,24,183.9999907761831,24,False,True,11,1,4,6,36,3.3881492578447583,198
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_gain_initial_access,27,1000027,219.49998963028378,400,27,229.99999040067215,25,239.49998963326289,27,219.49998963028378,27,False,True,6,1,2,3,39,3.3881492578447583,206
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_gain_initial_access,28,1000028,284.4999873474167,400,33,304.4999877378338,32,304.49998735040145,33,284.4999873474167,33,False,True,2,1,0,1,70,1.389893021496,222
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_gain_initial_access,29,1000029,304.49998582749873,400,37,289.9999877467748,32,314.49998621344326,36,304.49998582749873,37,False,True,15,2,6,7,50,6.217608687866105,258
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_gain_initial_access,30,1000030,230.49998887479333,400,29,264.49998926222304,28,250.49998887777244,29,230.49998887479333,29,False,True,15,1,5,9,67,6.217608687866105,234
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_gain_initial_access,31,1000031,327.4999858289889,400,37,347.99998622536634,36,347.4999858349538,37,327.4999858289889,37,False,True,2,0,1,1,52,0.9907581851999999,227
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_gain_initial_access,32,1000032,260.9999881088663,400,31,294.9999881207939,31,280.99998811185105,31,260.9999881088663,31,False,True,9,0,3,6,79,4.5551862726878625,229
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_gain_initial_access,33,1000033,217.9999888822455,400,29,251.49998889118453,29,237.9999888852246,29,217.9999888822455,29,False,True,16,4,4,8,27,4.949498661087863,223
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_gain_initial_access,34,1000034,282.49998697339777,400,34,313.49998736083467,33,302.4999869734023,34,282.49998697339777,34,False,True,14,1,4,9,65,4.949498661087863,220
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_gain_initial_access,35,1000035,189.99998922944255,400,28,232.49999000877165,26,209.99998923242165,28,189.99998922944255,28,False,True,34,3,13,18,35,7.592656514108783,255
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_gain_initial_access,36,1000036,187.49999039322321,400,25,208.99999078959246,24,207.49999039918256,25,187.49999039322321,25,False,True,15,1,7,7,20,7.592656514108783,229
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_gain_initial_access,37,1000037,256.49998811482743,400,31,256.9999892756344,28,276.49998811781217,31,256.49998811482743,31,False,True,12,0,5,7,20,4.949498661087863,234
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_gain_initial_access,38,1000038,349.99998505859867,400,39,369.99998545199594,38,369.9999850630735,39,349.99998505859867,39,False,True,0,0,0,0,-1,0.7908190214959999,209
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_gain_initial_access,39,1000039,242.49998809098918,400,31,286.999988104403,31,262.49998809247995,31,242.49998809098918,31,False,True,16,3,4,9,40,7.592656514108783,223
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_gain_initial_access,40,1000040,204.49998925179426,400,28,236.49999003261348,26,224.49998925179312,28,204.49998925179426,28,False,True,23,2,10,11,37,10.655053316150076,261
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_gain_initial_access,41,1000041,284.9999873548675,400,33,315.4999873608347,33,304.9999873548721,33,284.9999873548675,33,False,True,7,0,1,6,73,3.790508837844758,201
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_gain_initial_access,42,1000042,261.99998811631696,400,31,297.49998812526434,31,281.9999881193017,31,261.99998811631696,31,False,True,4,1,1,2,40,3.790508837844758,213
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_gain_initial_access,43,1000043,265.99998773484754,400,32,280.9999885097145,30,285.99998773932236,32,265.99998773484754,32,False,True,7,1,4,2,62,1.84719516106608,230
