model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit,ids_detections,ids_quarantine,ids_patch,ids_monitor,ids_first_step,ids_max_level,ids_increases
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_recover_or_replan,0,1000000,246.9999885052403,400,30,258.99998927265426,28,266.9999885082225,30,246.9999885052403,30,False,True,8,1,3,4,18,2.74286616106608,209
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_recover_or_replan,1,1000001,228.49998887330366,400,29,270.4999888822433,29,248.49998887330253,29,228.49998887330366,29,False,True,16,2,3,11,63,6.217608687866105,234
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_recover_or_replan,2,1000002,264.4999869644572,400,34,326.4999869748947,34,284.49998696744194,34,264.4999869644572,34,False,True,23,3,7,13,77,7.213958896289422,252
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_recover_or_replan,3,1000003,263.9999873518876,400,33,281.9999885067342,30,283.99998735785255,33,263.9999873518876,33,False,True,13,2,7,4,60,3.3881492578447583,235
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_recover_or_replan,4,1000004,226.99998973161163,400,27,246.99999012053027,26,246.99998973310062,27,226.99998973161163,27,False,True,3,0,1,2,37,1.8088430214959998,217
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_recover_or_replan,5,1000005,230.99998925179395,400,28,179.49999271929264,19,250.99998925477306,28,230.99998925179395,28,False,True,6,1,1,4,68,1.8088430214959998,202
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_recover_or_replan,6,1000006,224.4999896273033,400,27,254.4999896347522,27,244.4999896287923,27,224.4999896273033,27,False,True,2,1,0,1,79,0.9907581851999999,208
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_recover_or_replan,7,1000007,269.99998773484754,400,32,291.49998812377453,31,289.99998773932236,32,269.99998773484754,32,False,True,8,1,1,6,37,6.217608687866105,225
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_recover_or_replan,8,1000008,181.49999077916334,400,24,216.49999079406285,24,201.49999078214245,24,181.49999077916334,24,False,True,10,2,3,5,69,2.74286616106608,218
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_recover_or_replan,9,1000009,233.49998811036312,400,31,255.49998927414433,28,253.4999881118521,31,233.49998811036312,31,False,True,31,2,8,21,20,15.99858546073392,265
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_recover_or_replan,10,1000010,263.4999877318669,400,32,285.9999881207939,31,283.49998773187144,32,263.4999877318669,32,False,True,9,2,2,5,69,6.217608687866105,227
