model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit,ids_detections,ids_quarantine,ids_patch,ids_monitor,ids_first_step,ids_max_level,ids_increases
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_reduce_detection,0,1000000,252.4999885037484,400,30,274.49998889118433,29,272.49998850673217,30,252.4999885037484,30,False,True,6,0,3,3,18,2.33229516106608,217
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_reduce_detection,1,1000001,234.99998887330193,400,29,270.4999888822433,29,254.9999888733008,29,234.99998887330193,29,False,True,15,1,2,12,63,4.949498661087863,236
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_reduce_detection,2,1000002,264.49998696445715,400,34,326.4999869748946,34,284.4999869674419,34,264.49998696445715,34,False,True,23,3,7,13,77,7.213958896289422,256
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_reduce_detection,3,1000003,263.9999873518876,400,33,281.9999885067342,30,283.99998735785255,33,263.9999873518876,33,False,True,13,2,7,4,60,3.3881492578447583,233
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_reduce_detection,4,1000004,223.99998963028372,400,27,233.9999904081227,25,243.99998963624307,27,223.99998963028372,27,False,True,6,0,2,4,39,3.790508837844758,215
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_reduce_detection,5,1000005,209.4999897331015,400,28,146.9999938666821,16,229.49998973906085,28,209.4999897331015,28,False,True,25,1,9,15,88,12.338252249827073,228
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_reduce_detection,6,1000006,224.4999896273033,400,27,254.4999896347522,27,244.4999896287923,27,224.4999896273033,27,False,True,2,1,0,1,79,0.9907581851999999,214
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_reduce_detection,7,1000007,263.4999877378277,400,32,291.49998812377453,31,285.49998773783227,32,263.4999877378277,32,False,True,9,2,2,5,37,7.592656514108783,238
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_reduce_detection,8,1000008,181.49999077916334,400,24,216.49999079406285,24,201.49999078214245,24,181.49999077916334,24,False,True,10,2,3,5,69,2.74286616106608,216
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_reduce_detection,9,1000009,226.99998811334353,400,31,265.49998889416474,29,246.9999881133424,31,226.99998811334353,31,False,True,32,3,9,20,20,15.99858546073392,256
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_reduce_detection,10,1000010,266.9999877318669,400,32,288.999988122284,31,286.99998773187144,32,266.9999877318669,32,False,True,8,0,6,2,69,6.217608687866105,226
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_reduce_detection,11,1000011,308.4999863073158,400,37,339.99998670071307,36,328.4999863117906,37,308.4999863073158,37,False,True,10,2,5,3,38,2.74286616106608,208
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_reduce_detection,12,1000012,227.4999888777746,400,29,263.49998888671416,29,247.49998888224383,29,227.4999888777746,29,False,True,12,3,2,7,31,4.949498661087863,226
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_reduce_detection,13,1000013,178.49999115467256,400,23,197.9999919235708,21,198.49999115467142,23,178.49999115467256,23,False,True,8,1,2,5,39,3.790508837844758,230
