model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit,ids_detections,ids_quarantine,ids_patch,ids_monitor,ids_first_step,ids_max_level,ids_increases
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,trace_zeroed,0,1000000,-106.0000118747342,400,31,231.99999043047453,25,188.99998812526522,31,-106.0000118747342,31,False,True,254,27,85,142,33,78.24839989059427,351
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,trace_zeroed,1,1000001,-14.100011135636535,400,29,240.39998965114378,27,163.3999888747938,29,-14.100011135636535,29,False,True,174,17,67,90,36,81.88723189278238,307
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,trace_zeroed,2,1000002,-46.00001303255614,400,34,292.99998775124527,32,222.99998696893329,34,-46.00001303255614,34,False,True,224,24,84,116,29,147.29235449467487,346
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,trace_zeroed,3,1000003,-56.50001264363452,400,33,252.99998889416477,29,185.99998736083538,33,-56.50001264363452,33,False,True,249,25,73,151,32,156.17196054487547,352
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,trace_zeroed,4,1000004,-166.10001026391865,400,27,191.89999166280055,22,129.899989737571,27,-166.10001026391865,27,False,True,240,30,94,116,22,125.4202097393882,352
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,trace_zeroed,5,1000005,9.899989248813345,400,28,109.8999953955413,12,185.89999078959275,24,9.899989248813345,28,False,True,148,18,50,80,122,60.46078960854948,262
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,trace_zeroed,6,1000006,10.999989627302869,400,27,226.99999001622217,26,140.49998962879252,27,10.999989627302869,27,False,True,132,16,54,62,32,138.40818460503422,276
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,trace_zeroed,7,1000007,-71.00001226365501,400,32,252.9999892741444,28,180.99998774081484,32,-71.00001226365501,32,False,True,234,23,87,124,31,133.05919963626806,345
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,trace_zeroed,8,1000008,-186.00000921934713,400,24,155.99999233484297,20,92.9999907806523,24,-186.00000921934713,24,False,True,256,27,91,138,23,93.15612999963162,353
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,trace_zeroed,9,1000009,-64.80001188367484,400,31,215.19999005049496,26,178.19998849928453,30,-64.80001188367484,31,False,True,249,18,86,145,36,129.87199122583777,362
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,trace_zeroed,10,1000010,-28.000012268126042,400,32,279.49998850673427,30,197.4999877318734,32,-28.000012268126042,32,False,True,208,24,64,120,32,108.96068407648099,328
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,trace_zeroed,11,1000011,-28.5000140696774,400,37,312.4999870821829,34,204.49998669326135,35,-28.5000140696774,37,False,True,240,26,81,133,22,174.59855615513516,345
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,trace_zeroed,12,1000012,-94.00001112371619,400,29,264.499988886714,29,167.49998888373395,29,-94.00001112371619,29,False,True,229,26,75,128,23,142.9871806458287,336
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,trace_zeroed,13,1000013,-99.50000912845033,400,24,165.49999242275976,20,114.99999087154933,24,-99.50000912845033,24,False,True,220,17,75,128,33,147.10841164605944,330
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,trace_zeroed,14,1000014,-93.50001226365436,400,32,184.4999908119443,24,176.49998773783517,32,-93.50001226365436,32,False,True,240,32,73,135,30,165.57016393412098,350
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,trace_zeroed,15,1000015,62.99998659044367,400,35,308.4999877437946,32,261.99998659044263,35,62.99998659044367,35,False,True,197,11,66,120,75,142.9871806458287,324
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,trace_zeroed,16,1000016,-27.1000115066755,400,30,233.89998966157458,27,177.3999884992845,30,-27.1000115066755,30,False,True,184,22,64,98,38,113.04367039495136,311
