model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit,ids_detections,ids_quarantine,ids_patch,ids_monitor,ids_first_step,ids_max_level,ids_increases,n_sensitive,n_hosts
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,0,1000000,239.99998850077145,400,30,283.4999885097143,30,259.99998850375164,30,239.99998850077145,30,False,True,16,0,8,8,59,4.5551862726878625,223,35,78
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,1,1000001,219.49998887032385,400,29,272.4999888807535,29,239.49998887330295,29,219.49998887032385,29,False,True,25,2,6,17,53,7.592656514108783,225,32,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,2,1000002,254.99998696147728,400,34,291.49998811781364,31,274.9999869674419,34,254.99998696147728,34,False,True,27,5,6,16,65,20.03787747648886,233,39,90
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,3,1000003,276.4999873474173,400,33,302.99998774230465,32,296.4999873533822,33,276.4999873474173,33,False,True,12,1,2,9,77,6.217608687866105,225,37,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,4,1000004,190.49998963177387,400,27,246.4999896407129,27,210.49998963773322,27,190.49998963177387,27,False,True,25,3,9,13,43,24.12538323703899,217,30,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,5,1000005,236.9999892503038,400,28,109.9999953940511,12,246.999989639223,27,236.9999892503038,28,False,True,3,0,1,2,150,2.74286616106608,168,33,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,6,1000006,225.49998962730314,400,27,257.4999896377324,27,245.49998962879212,27,225.49998962730314,27,False,True,6,0,1,5,17,3.790508837844758,206,28,86
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,7,1000007,264.49998773335733,400,32,286.499988503754,30,284.99998773783216,32,264.49998773335733,32,False,True,13,1,3,9,46,4.949498661087863,231,36,82
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,8,1000008,20.99999087303926,400,24,184.49999165385984,22,78.49999087899997,24,20.99999087303926,24,False,True,103,13,46,44,43,31.399856659635198,283,26,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,9,1000009,198.4999881073844,400,31,264.4999885126949,30,218.49998811036352,31,198.4999881073844,31,False,True,41,5,19,17,20,21.87273799697856,251,35,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,10,1000010,260.9999877244167,400,32,288.49998812079417,31,280.99998772740145,32,260.9999877244167,32,False,True,11,2,3,6,35,6.217608687866105,214,34,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,11,1000011,290.9999858245186,400,37,299.9999873653052,33,300.99998621046313,36,290.9999858245186,37,False,True,18,5,5,8,56,21.05066875719399,202,40,88
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,12,1000012,219.4999888524426,400,29,228.9999904334548,25,239.49998885989208,29,219.4999888524426,29,False,True,19,2,8,9,76,4.949498661087863,206,30,80
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,13,1000013,168.49999077022255,400,24,205.4999915450813,22,193.4999907761819,24,168.49999077022255,24,False,True,18,3,6,9,72,9.072503383826607,223,28,86
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,14,1000014,230.49998782277288,400,32,207.99999052137161,25,240.9999882057316,31,230.49998782277288,32,False,True,32,6,11,15,32,8.262887739835953,228,37,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,15,1000015,300.99998658596746,400,35,338.99998659342475,35,320.9999865904423,35,300.99998658596746,35,False,True,9,0,3,6,87,6.217608687866105,198,37,87
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,16,1000016,232.99998848885315,400,30,238.9999896451833,27,252.99998849630262,30,232.99998848885315,30,False,True,15,3,4,8,38,4.5551862726878625,203,31,81
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,17,1000017,221.99998887181343,400,29,273.99998888820363,29,241.99998887628266,29,221.99998887181343,29,False,True,17,2,7,8,79,7.213958896289422,217,34,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,18,1000018,227.99998924434357,400,28,252.49998963624253,27,247.9999892488128,28,227.99998924434357,28,False,True,15,0,3,12,36,7.592656514108783,204,31,87
