model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit,ids_detections,ids_quarantine,ids_patch,ids_monitor,ids_first_step,ids_max_level,ids_increases,n_sensitive,n_hosts
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,0,1000000,245.99998850673032,400,30,273.4999888941645,29,266.49998850822226,30,245.99998850673032,30,False,True,7,2,1,4,62,3.790508837844758,214,35,78
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,1,1000001,223.4999892577548,400,28,252.49998964667344,27,243.4999892592438,28,223.4999892577548,28,False,True,6,2,3,1,56,1.84719516106608,220,32,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,2,1000002,276.4999878242543,400,32,297.9999881222841,31,296.4999878302192,32,276.4999878242543,32,False,True,6,1,4,1,97,1.8592512578447584,220,39,90
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,3,1000003,272.9999873548677,400,33,314.499987362325,33,292.99998735487225,33,272.9999873548677,33,False,True,7,2,3,2,93,4.5551862726878625,224,37,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,4,1000004,228.99998963326402,400,27,249.49999002367278,26,249.49998963922337,27,228.99998963326402,27,False,True,2,0,0,2,89,1.006811021496,215,30,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,5,1000005,219.99999002069418,400,26,229.99999079108255,24,239.99999002218317,26,219.99999002069418,26,False,True,0,0,0,0,-1,0.65097774,194,33,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,6,1000006,229.99998962730353,400,27,249.99999001473205,26,249.99998963028264,27,229.99998962730353,27,False,True,0,0,0,0,-1,0.65097774,202,28,86
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,7,1000007,268.99998811780745,400,31,279.99998889118433,29,288.9999881207922,31,268.99998811780745,31,False,True,2,0,0,2,102,0.9907581851999999,229,36,82
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,8,1000008,178.99999116808362,400,23,185.9999923244121,20,198.9999911695726,23,178.99999116808362,23,False,True,4,1,3,0,71,1.389893021496,204,26,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,9,1000009,262.4999881178072,400,31,284.9999885052441,30,282.49998811781177,31,262.4999881178072,31,False,True,6,0,3,3,82,3.3881492578447583,207,35,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,10,1000010,267.999988114827,400,31,287.9999885022639,30,287.9999881163216,31,267.999988114827,31,False,True,1,0,1,0,16,0.9907581851999999,202,34,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,11,1000011,329.99998583196873,400,37,339.9999866023654,35,339.9999862149331,36,329.99998583196873,37,False,True,0,0,0,0,-1,0.65097774,193,40,88
