model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit,ids_detections,ids_quarantine,ids_patch,ids_monitor,ids_first_step,ids_max_level,ids_increases,n_sensitive,n_hosts
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,0,1000000,143.4999881237756,400,31,268.4999889001252,29,194.9999881252646,31,143.4999881237756,31,False,True,79,7,37,35,40,33.99115952644249,287,35,78
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,1,1000001,175.99998934418147,400,29,226.99999050945067,26,213.99998935014082,29,175.99998934418147,29,False,True,49,7,12,30,30,29.19390511589447,269,32,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,2,1000002,230.9999869599913,400,34,285.4999881237742,31,267.49998696893215,34,230.9999869599913,34,False,True,54,3,19,32,37,26.465275572298207,274,39,90
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,3,1000003,228.99998734742206,400,33,274.9999888911843,29,260.4999873563626,33,228.99998734742206,33,False,True,47,1,22,24,27,12.338252249827073,280,37,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,4,1000004,158.49998970478956,400,27,224.99999041706346,25,190.49998970925878,27,158.49998970478956,27,False,True,50,3,22,25,21,14.120087204830533,285,30,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,5,1000005,176.99998925179395,400,28,137.4999942466617,15,188.49999040663286,25,176.99998925179395,28,False,True,51,4,13,34,92,17.636347352122616,247,33,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,6,1000006,167.99998962283274,400,27,253.999989634752,27,207.99998962730197,27,167.99998962283274,27,False,True,34,6,12,16,79,21.492071914294808,264,28,86
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,7,1000007,195.49998773336455,400,32,275.4999881282449,31,241.99998773485353,32,195.49998773336455,32,False,True,52,4,27,21,47,14.997597548300691,278,36,82
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,8,1000008,78.99999077320285,400,24,206.49999117255234,23,126.49999077767208,24,78.99999077320285,24,False,True,74,11,23,40,64,14.120087204830533,275,26,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,9,1000009,183.49998858571203,400,31,254.4999889954926,30,227.99998859167138,31,183.49998858571203,31,False,True,53,8,16,29,19,15.656272808288385,275,35,85
