model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__churn_x3.v2.yaml,churn_x3,0,1000000,226.99998945892042,400,29,235.4999904215338,25,239.49998984485939,28,226.99998945892042,29,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__churn_x3.v2.yaml,churn_x3,1,1000001,240.9999888747903,400,29,265.4999892666933,28,261.4999888762808,29,240.9999888747903,29,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__churn_x3.v2.yaml,churn_x3,2,1000002,288.4999869450863,400,34,298.4999881148338,31,308.4999869450908,34,288.4999869450863,34,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__churn_x3.v2.yaml,churn_x3,3,1000003,235.49998735338286,400,33,279.9999888896944,29,264.99998735636285,33,235.49998735338286,33,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__churn_x3.v2.yaml,churn_x3,4,1000004,214.99999001622385,400,26,234.9999904125931,25,234.99999001920295,26,214.99999001622385,26,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__churn_x3.v2.yaml,churn_x3,5,1000005,167.99998933822084,400,28,136.99999384433045,16,187.9999893382197,28,167.99998933822084,28,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__churn_x3.v2.yaml,churn_x3,6,1000006,228.99998963028352,400,27,248.99999002069254,26,248.9999896317725,27,228.99998963028352,27,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__churn_x3.v2.yaml,churn_x3,7,1000007,231.49998888373506,400,29,236.99999004751467,26,251.49998888671416,29,231.49998888373506,29,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__churn_x3.v2.yaml,churn_x3,8,1000008,184.99999078214358,400,24,212.49999117851283,23,204.99999078214245,24,184.99999078214358,24,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__churn_x3.v2.yaml,churn_x3,9,1000009,237.4999886885271,400,30,274.99998888820403,29,257.4999886900165,30,237.4999886885271,30,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__churn_x3.v2.yaml,churn_x3,10,1000010,262.499987733358,400,32,255.49998928010484,28,282.49998773485265,32,262.499987733358,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__churn_x3.v2.yaml,churn_x3,11,1000011,293.9999866887856,400,36,337.4999870792027,35,313.99998669177035,36,293.9999866887856,36,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__churn_x3.v2.yaml,churn_x3,12,1000012,175.9999896213431,400,27,225.9999900147321,26,195.9999896228321,27,175.9999896213431,27,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__churn_x3.v2.yaml,churn_x3,13,1000013,123.49999163150969,400,23,156.99999317228813,19,143.49999163299867,23,123.49999163150969,23,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__churn_x3.v2.yaml,churn_x3,14,1000014,254.4999881163178,400,31,274.4999885097146,30,274.499988117812,31,254.4999881163178,31,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__churn_x3.v2.yaml,churn_x3,15,1000015,308.99998659043797,400,35,329.49998698085506,34,328.9999865919326,35,308.99998659043797,35,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__churn_x3.v2.yaml,churn_x3,16,1000016,251.49998849927857,400,30,273.99998888820426,29,271.4999885007719,30,251.49998849927857,30,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__churn_x3.v2.yaml,churn_x3,17,1000017,220.9999888822452,400,29,255.99998965561383,27,230.9999892637138,28,220.9999888822452,29,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__churn_x3.v2.yaml,churn_x3,18,1000018,189.49999039173306,400,25,212.49999116808192,23,211.49999039322205,25,189.49999039173306,25,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__churn_x3.v2.yaml,churn_x3,19,1000019,209.9999880477803,400,31,224.49999004304425,26,234.9999880492693,31,209.9999880477803,31,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__churn_x3.v2.yaml,churn_x3,20,1000020,255.49998859166686,400,31,245.49999013543152,27,265.4999889746291,30,255.49998859166686,31,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__churn_x3.v2.yaml,churn_x3,21,1000021,252.9999873593391,400,33,278.4999885156749,30,272.99998736083285,33,252.9999873593391,33,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__churn_x3.v2.yaml,churn_x3,22,1000022,245.9999885827269,400,30,253.9999896436931,27,265.99998858570876,30,245.9999885827269,30,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__churn_x3.v2.yaml,churn_x3,23,1000023,203.99998963773433,400,27,196.49999156296275,22,214.49999002218317,26,203.99998963773433,27,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__churn_x3.v2.yaml,churn_x3,24,1000024,145.89999192506255,400,21,165.39999271333238,19,165.89999192804166,21,145.89999192506255,21,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__churn_x3.v2.yaml,churn_x3,25,1000025,200.9999901011603,400,26,180.49999231398115,20,220.9999901026493,26,200.9999901011603,26,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__churn_x3.v2.yaml,churn_x3,26,1000026,151.99999087900113,400,24,202.99999165385987,22,171.999990879,24,151.99999087900113,24,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__churn_x3.v2.yaml,churn_x3,27,1000027,205.9999900147337,400,26,225.99999040663258,25,225.99999001622268,26,205.9999900147337,26,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__churn_x3.v2.yaml,churn_x3,28,1000028,259.99998849480664,400,30,279.99998888522373,29,269.999988877771,29,259.99998849480664,30,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__churn_x3.v2.yaml,churn_x3,29,1000029,315.99998592584643,400,37,347.99998622685644,36,325.99998631179096,36,315.99998592584643,37,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__churn_x3.v2.yaml,churn_x3,30,1000030,224.4999893516317,400,28,256.99998974651106,27,244.49998935610094,28,224.4999893516317,28,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__churn_x3.v2.yaml,churn_x3,31,1000031,320.4999854281474,400,38,324.9999869883055,34,340.4999854326222,38,320.4999854281474,38,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__churn_x3.v2.yaml,churn_x3,32,1000032,263.4999877244164,400,32,293.9999881207939,31,283.99998773038135,32,263.4999877244164,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__churn_x3.v2.yaml,churn_x3,33,1000033,251.49998850374863,400,30,272.4999888911842,29,271.49998850524196,30,251.49998850374863,30,False,True
