model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__fem_0.v2.yaml,fem_0,0,1000000,269.9999881222774,400,31,299.9999881297347,31,289.9999881252621,31,269.9999881222774,31,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__fem_0.v2.yaml,fem_0,1,1000001,241.49998887330008,400,29,279.9999888822433,29,261.4999888733005,29,241.49998887330008,29,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__fem_0.v2.yaml,fem_0,2,1000002,297.499986961477,400,34,299.9999881178137,31,317.49998696744194,34,297.499986961477,34,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__fem_0.v2.yaml,fem_0,3,1000003,289.99998735039753,400,33,299.9999881267546,31,309.99998735785255,33,289.99998735039753,33,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__fem_0.v2.yaml,fem_0,4,1000004,221.99998963177384,400,27,224.49999079108255,24,231.9999900177128,26,221.99998963177384,27,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__fem_0.v2.yaml,fem_0,5,1000005,239.99998925328174,400,28,149.99999386519198,16,259.99998925924217,28,239.99998925328174,28,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__fem_0.v2.yaml,fem_0,6,1000006,229.99998962730197,400,27,259.9999896332618,27,249.99998962879096,27,229.99998962730197,27,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__fem_0.v2.yaml,fem_0,7,1000007,279.4999877348472,400,32,299.9999881237742,31,299.49998773634184,32,279.4999877348472,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__fem_0.v2.yaml,fem_0,8,1000008,199.99999078065346,400,24,229.99999078810237,24,219.99999078065233,24,199.99999078065346,24,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__fem_0.v2.yaml,fem_0,9,1000009,261.99998811333774,400,31,254.49998966306467,27,281.99998811632247,31,261.99998811333774,31,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__fem_0.v2.yaml,fem_0,10,1000010,279.9999877318669,400,32,309.9999877408143,32,299.99998773187144,32,279.9999877318669,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__fem_0.v2.yaml,fem_0,11,1000011,327.4999858289885,400,37,359.9999858364458,37,347.4999858349534,37,327.4999858289885,37,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__fem_0.v2.yaml,fem_0,12,1000012,233.4999888762827,400,29,269.9999892681837,28,253.99998888075194,29,233.4999888762827,29,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__fem_0.v2.yaml,fem_0,13,1000013,198.99999077320282,400,24,209.99999154508131,22,218.99999077618193,24,198.99999077320282,24,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__fem_0.v2.yaml,fem_0,14,1000014,277.99998773186695,400,32,309.9999877467747,32,297.9999877348517,32,277.99998773186695,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__fem_0.v2.yaml,fem_0,15,1000015,309.9999865859676,400,35,339.99998659193477,35,329.9999865889523,35,309.9999865859676,35,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__fem_0.v2.yaml,fem_0,16,1000016,258.99998849927675,400,30,279.9999888822434,29,278.9999884992813,30,258.99998849927675,30,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__fem_0.v2.yaml,fem_0,17,1000017,249.99998887627817,400,29,269.9999892711638,28,269.9999888792612,29,249.99998887627817,29,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__fem_0.v2.yaml,fem_0,18,1000018,239.99998924583096,400,28,249.99999002218266,26,259.99998925030127,28,239.99998924583096,28,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__fem_0.v2.yaml,fem_0,19,1000019,274.99998772888705,400,32,269.9999892681835,28,294.99998773485197,32,274.99998772888705,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__fem_0.v2.yaml,fem_0,20,1000020,268.4999881133367,400,31,279.9999888896938,29,288.49998811781154,31,268.4999881133367,31,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__fem_0.v2.yaml,fem_0,21,1000021,276.9999873563577,400,33,309.9999877437946,32,296.9999873578523,33,276.9999873563577,33,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__fem_0.v2.yaml,fem_0,22,1000022,256.9999884873562,400,30,279.49998888075345,29,276.9999884903409,30,256.9999884873562,30,False,True
