model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__fem_x0.5.v2.yaml,fem_x0.5,0,1000000,268.9999881222774,400,31,279.499988891184,29,288.9999881252621,31,268.9999881222774,31,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__fem_x0.5.v2.yaml,fem_x0.5,1,1000001,230.49998887330315,400,29,276.4999888822433,29,250.49998887330202,29,230.49998887330315,29,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__fem_x0.5.v2.yaml,fem_x0.5,2,1000002,294.49998696445715,400,34,319.49998735487424,33,314.4999869674419,34,294.49998696445715,34,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__fem_x0.5.v2.yaml,fem_x0.5,3,1000003,273.4999873518876,400,33,290.9999881267546,31,293.49998735934264,33,273.4999873518876,33,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__fem_x0.5.v2.yaml,fem_x0.5,4,1000004,212.9999896347541,400,27,242.99999002367272,26,232.99998963475295,27,212.9999896347541,27,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__fem_x0.5.v2.yaml,fem_x0.5,5,1000005,237.49998925328256,400,28,159.99999348372225,17,257.4999892577522,28,237.49998925328256,28,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__fem_x0.5.v2.yaml,fem_x0.5,6,1000006,229.99998962581185,400,27,259.9999896347519,27,249.99998962730083,27,229.99998962581185,27,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__fem_x0.5.v2.yaml,fem_x0.5,7,1000007,278.4999877363373,400,32,298.4999881252643,31,298.49998773783193,32,278.4999877363373,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__fem_x0.5.v2.yaml,fem_x0.5,8,1000008,181.49999077916334,400,24,202.99999117106222,23,201.49999078065233,24,181.49999077916334,24,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__fem_x0.5.v2.yaml,fem_x0.5,9,1000009,252.9999881103576,400,31,273.4999885141848,30,273.4999881163218,31,252.9999881103576,31,False,True
