model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_inc_x0.5.v2.yaml,ids_inc_x0.5,0,1000000,265.49998811929714,400,31,287.9999885112043,30,285.4999881222819,31,265.49998811929714,31,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_inc_x0.5.v2.yaml,ids_inc_x0.5,1,1000001,240.99998887330023,400,29,275.9999888822433,29,260.9999888733005,29,240.99998887330023,29,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_inc_x0.5.v2.yaml,ids_inc_x0.5,2,1000002,282.9999869674374,400,34,299.9999881193038,31,303.49998696744194,34,282.9999869674374,34,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_inc_x0.5.v2.yaml,ids_inc_x0.5,3,1000003,286.4999873518877,400,33,298.99998812675466,31,306.4999873593427,33,286.4999873518877,33,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_inc_x0.5.v2.yaml,ids_inc_x0.5,4,1000004,218.9999896362442,400,27,253.4999896436931,27,238.9999896377332,27,218.9999896362442,27,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_inc_x0.5.v2.yaml,ids_inc_x0.5,5,1000005,219.4999892532841,400,28,149.4999938666821,16,239.49998926073357,28,219.4999892532841,28,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_inc_x0.5.v2.yaml,ids_inc_x0.5,6,1000006,229.999989627302,400,27,259.9999896347519,27,249.99998962879098,27,229.999989627302,27,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_inc_x0.5.v2.yaml,ids_inc_x0.5,7,1000007,271.99998773633723,400,32,284.49998850524383,30,291.9999877363418,32,271.99998773633723,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_inc_x0.5.v2.yaml,ids_inc_x0.5,8,1000008,177.49999078065346,400,24,210.99999117106222,23,197.49999078065233,24,177.49999078065346,24,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_inc_x0.5.v2.yaml,ids_inc_x0.5,9,1000009,239.49998811185228,400,31,244.49998927712457,28,259.49998811632247,31,239.49998811185228,31,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_inc_x0.5.v2.yaml,ids_inc_x0.5,10,1000010,278.9999877318671,400,32,279.99998888075334,29,298.99998773187167,32,278.9999877318671,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_inc_x0.5.v2.yaml,ids_inc_x0.5,11,1000011,314.9999858274984,400,37,359.9999858364458,37,334.9999858319732,37,314.9999858274984,37,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_inc_x0.5.v2.yaml,ids_inc_x0.5,12,1000012,235.49998887628215,400,29,259.9999896496534,27,257.49998887777116,29,235.49998887628215,29,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_inc_x0.5.v2.yaml,ids_inc_x0.5,13,1000013,165.9999907657521,400,24,151.49999269992125,19,185.99999077171145,24,165.9999907657521,24,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_inc_x0.5.v2.yaml,ids_inc_x0.5,14,1000014,263.9999877288868,400,32,291.4999881222841,31,283.99998773187156,32,263.9999877288868,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_inc_x0.5.v2.yaml,ids_inc_x0.5,15,1000015,309.99998658745767,400,35,329.99998697638466,34,329.9999865874622,35,309.99998658745767,35,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_inc_x0.5.v2.yaml,ids_inc_x0.5,16,1000016,256.4999884962966,400,30,279.9999888837335,29,276.49998849779126,30,256.4999884962966,30,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_inc_x0.5.v2.yaml,ids_inc_x0.5,17,1000017,245.9999888762793,400,29,279.4999888911842,29,265.9999888792612,29,245.9999888762793,29,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_inc_x0.5.v2.yaml,ids_inc_x0.5,18,1000018,231.99998924732273,400,28,256.4999896407129,27,251.99998925179196,28,231.99998924732273,28,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_inc_x0.5.v2.yaml,ids_inc_x0.5,19,1000019,267.9999877333572,400,32,287.9999881207941,31,287.99998773485186,32,267.9999877333572,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_inc_x0.5.v2.yaml,ids_inc_x0.5,20,1000020,257.4999881103566,400,31,287.49998812526434,31,277.4999881148314,31,257.4999881103566,31,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_inc_x0.5.v2.yaml,ids_inc_x0.5,21,1000021,267.9999873563577,400,33,309.9999877437946,32,287.9999873593424,33,267.9999873563577,33,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_inc_x0.5.v2.yaml,ids_inc_x0.5,22,1000022,246.49998848437895,400,30,261.99998926520357,28,266.49998849034114,30,246.49998848437895,30,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_inc_x0.5.v2.yaml,ids_inc_x0.5,23,1000023,203.99998963773436,400,27,230.99999003857397,26,223.9999896422036,27,203.99998963773436,27,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_inc_x0.5.v2.yaml,ids_inc_x0.5,24,1000024,60.899991929532355,400,21,56.3999946326018,14,85.39999193102156,21,60.899991929532355,21,False,True
