model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_inc_x2.v2.yaml,ids_inc_x2,0,1000000,223.49998896122167,400,29,211.49999087601924,24,251.49998896420078,29,223.49998896122167,29,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_inc_x2.v2.yaml,ids_inc_x2,1,1000001,226.99998882711037,400,29,266.999988861382,29,248.4999888315796,29,226.99998882711037,29,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_inc_x2.v2.yaml,ids_inc_x2,2,1000002,251.49998744278562,400,34,306.499987840652,33,282.9999874442791,34,251.49998744278562,34,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_inc_x2.v2.yaml,ids_inc_x2,3,1000003,267.4999873548679,400,33,302.9999873653054,33,290.49998735785266,33,267.4999873548679,33,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_inc_x2.v2.yaml,ids_inc_x2,4,1000004,210.99999011308142,400,26,224.9999908834698,24,234.9999901145704,26,210.99999011308142,26,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_inc_x2.v2.yaml,ids_inc_x2,5,1000005,160.99999011308125,400,27,199.4999916613103,23,163.49999088794056,25,160.99999011308125,27,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_inc_x2.v2.yaml,ids_inc_x2,6,1000006,218.49998960644152,400,27,255.49998961538054,27,245.4999896079305,27,218.49998960644152,27,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_inc_x2.v2.yaml,ids_inc_x2,7,1000007,247.99998773484995,400,32,265.4999885067343,30,262.999988119302,31,247.99998773484995,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_inc_x2.v2.yaml,ids_inc_x2,8,1000008,145.99999113977145,400,23,193.49999117255234,23,178.99999114275056,23,145.99999113977145,23,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_inc_x2.v2.yaml,ids_inc_x2,9,1000009,206.49998858869253,400,31,230.99998975396173,28,229.99998897165125,30,206.49998858869253,31,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_inc_x2.v2.yaml,ids_inc_x2,10,1000010,263.4999877333569,400,32,291.4999881178136,31,286.4999877333614,32,263.4999877333569,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_inc_x2.v2.yaml,ids_inc_x2,11,1000011,306.4999863088062,400,37,331.49998707473264,35,326.49998631030087,37,306.4999863088062,37,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_inc_x2.v2.yaml,ids_inc_x2,12,1000012,218.49998926073502,400,28,249.49998965114378,27,248.99998926669437,28,218.49998926073502,28,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_inc_x2.v2.yaml,ids_inc_x2,13,1000013,154.49999123066848,400,23,190.99999164193886,22,174.9999912351377,23,154.49999123066848,23,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_inc_x2.v2.yaml,ids_inc_x2,14,1000014,221.49998923093267,400,28,244.49998962432167,27,241.99998923987226,28,221.49998923093267,28,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_inc_x2.v2.yaml,ids_inc_x2,15,1000015,283.49998659043797,400,35,325.9999869763848,34,314.9999865904425,35,283.49998659043797,35,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_inc_x2.v2.yaml,ids_inc_x2,16,1000016,229.99998849928087,400,30,268.9999888852234,29,261.99998849928113,30,229.99998849928087,30,False,True
