model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_thr_x0.6.v2.yaml,ids_thr_x0.6,0,1000000,186.99998888522575,400,29,238.49998965859436,27,232.49998888969498,29,186.99998888522575,29,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_thr_x0.6.v2.yaml,ids_thr_x0.6,1,1000001,216.99998944550927,400,29,248.99999021440763,27,239.99998944848838,29,216.99998944550927,29,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_thr_x0.6.v2.yaml,ids_thr_x0.6,2,1000002,258.99998696445715,400,34,303.99998735487424,33,284.4999869674419,34,258.99998696445715,34,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_thr_x0.6.v2.yaml,ids_thr_x0.6,3,1000003,252.49998732953685,400,33,288.99998774528484,32,277.49998733550075,33,252.49998732953685,33,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_thr_x0.6.v2.yaml,ids_thr_x0.6,4,1000004,205.49998958409012,400,27,231.49999000430122,26,230.99998959004947,27,205.49998958409012,27,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_thr_x0.6.v2.yaml,ids_thr_x0.6,5,1000005,233.4999892517927,400,28,148.99999386370186,16,253.99998925924217,28,233.4999892517927,28,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_thr_x0.6.v2.yaml,ids_thr_x0.6,6,1000006,222.99998960644191,400,27,253.49998961538094,27,243.4999896079309,27,222.99998960644191,27,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_thr_x0.6.v2.yaml,ids_thr_x0.6,7,1000007,256.99998773782767,400,32,289.99998812824475,31,286.4999877378322,32,256.99998773782767,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_thr_x0.6.v2.yaml,ids_thr_x0.6,8,1000008,117.49999078214358,400,24,208.49999079257273,24,145.4999907851227,24,117.49999078214358,24,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__ids_thr_x0.6.v2.yaml,ids_thr_x0.6,9,1000009,209.99998811334476,400,31,241.99998965710415,27,237.49998811483374,31,209.99998811334476,31,False,True
