model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_monitor.v2.yaml,resp_all_monitor,0,1000000,257.4999885037475,400,30,277.4999888926745,29,277.4999885067322,30,257.4999885037475,30,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_monitor.v2.yaml,resp_all_monitor,1,1000001,242.4999888732998,400,29,276.4999888822433,29,262.4999888733005,29,242.4999888732998,29,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_monitor.v2.yaml,resp_all_monitor,2,1000002,289.49998696445715,400,34,327.9999869748946,34,309.4999869674419,34,289.49998696445715,34,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_monitor.v2.yaml,resp_all_monitor,3,1000003,284.4999873533776,400,33,297.4999881297347,31,304.49998735785243,33,284.4999873533776,33,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_monitor.v2.yaml,resp_all_monitor,4,1000004,227.9999896317738,400,27,237.99999040365233,25,247.9999896347529,27,227.9999896317738,27,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_monitor.v2.yaml,resp_all_monitor,5,1000005,237.49998925626326,400,28,149.49999386370186,16,257.49998925924274,28,237.49998925626326,28,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_monitor.v2.yaml,resp_all_monitor,6,1000006,228.99998962730226,400,27,258.9999896347519,27,248.99998962879124,27,228.99998962730226,27,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_monitor.v2.yaml,resp_all_monitor,7,1000007,274.9999877318673,400,32,286.999988502264,30,294.999987734852,32,274.9999877318673,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_monitor.v2.yaml,resp_all_monitor,8,1000008,194.99999077767322,400,24,225.49999079257273,24,214.99999078214245,24,194.99999077767322,24,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_monitor.v2.yaml,resp_all_monitor,9,1000009,248.9999881133395,400,31,259.49998928308503,28,269.99998811483215,31,248.9999881133395,31,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_monitor.v2.yaml,resp_all_monitor,10,1000010,275.9999877318669,400,32,296.9999881207939,31,295.99998773336154,32,275.9999877318669,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_monitor.v2.yaml,resp_all_monitor,11,1000011,326.9999858051467,400,37,347.4999862194056,36,346.9999858111116,37,326.9999858051467,37,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_monitor.v2.yaml,resp_all_monitor,12,1000012,243.4999888792602,400,29,275.49998888820403,29,263.4999888822414,29,243.4999888792602,29,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_monitor.v2.yaml,resp_all_monitor,13,1000013,184.9999911308307,400,23,197.9999919235708,21,204.99999113231968,23,184.9999911308307,23,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_monitor.v2.yaml,resp_all_monitor,14,1000014,273.9999877303768,400,32,306.99998774826474,32,293.9999877363417,32,273.9999877303768,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_monitor.v2.yaml,resp_all_monitor,15,1000015,308.9999865859676,400,35,338.99998659193477,35,328.9999865874622,35,308.9999865859676,35,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_monitor.v2.yaml,resp_all_monitor,16,1000016,253.49998849778746,400,30,275.9999888837335,29,273.49998849779126,30,253.49998849778746,30,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_monitor.v2.yaml,resp_all_monitor,17,1000017,243.49998887777022,400,29,276.49998888820414,29,263.4999888792613,29,243.49998887777022,29,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_monitor.v2.yaml,resp_all_monitor,18,1000018,236.49998925179239,400,28,246.99999002069254,26,256.49998925179136,28,236.49998925179239,28,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_monitor.v2.yaml,resp_all_monitor,19,1000019,272.4999877333571,400,32,304.9999877437946,32,292.49998773634184,32,272.4999877333571,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_monitor.v2.yaml,resp_all_monitor,20,1000020,254.49998849778717,400,30,276.4999888867137,29,274.49998850226154,30,254.49998849778717,30,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_monitor.v2.yaml,resp_all_monitor,21,1000021,281.99998734741723,400,33,307.4999877437947,32,301.99998735785243,33,281.99998734741723,33,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_monitor.v2.yaml,resp_all_monitor,22,1000022,252.99998848288678,400,30,265.49998926073306,28,272.9999884888508,30,252.99998848288678,30,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_monitor.v2.yaml,resp_all_monitor,23,1000023,221.49998963326402,400,27,224.9999907895925,24,241.499989634753,27,221.49998963326402,27,False,True
