model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,0,1000000,249.9999885022586,400,30,279.9999885082241,30,269.9999885052416,30,249.9999885022586,30,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,1,1000001,223.99998887330443,400,29,247.99998964518295,27,243.9999888733033,29,223.99998887330443,29,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,2,1000002,251.99998734443787,400,33,303.99998773783403,32,271.9999873489116,33,251.99998734443787,33,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,3,1000003,263.9999873533777,400,33,281.9999885067342,30,283.99998735934264,33,263.9999873533777,33,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,4,1000004,209.99999001324358,400,26,229.99999040514246,25,229.99999001622268,26,209.99999001324358,26,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,5,1000005,237.99998924881172,400,28,157.99999348372225,17,257.99998925179136,28,237.99998924881172,28,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,6,1000006,225.9999896258129,400,27,255.99998963475193,27,245.9999896273019,27,225.9999896258129,27,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,7,1000007,269.9999877363373,400,32,291.9999881222841,31,291.99998773634184,32,269.9999877363373,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,8,1000008,179.99999077767322,400,24,211.99999079257273,24,199.99999078214245,24,179.99999077767322,24,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,9,1000009,177.99998897165239,400,30,127.99999310374287,18,199.9999889746315,30,177.99998897165239,30,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,10,1000010,265.9999877318669,400,32,275.9999885007735,30,285.99998773187144,32,265.9999877318669,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,11,1000011,303.9999863088059,400,37,351.999986313283,37,323.9999863103005,37,303.9999863088059,37,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,12,1000012,231.99998935461085,400,29,255.99998974204075,28,251.99998935609983,29,231.99998935461085,29,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,13,1000013,183.9999907717127,400,24,211.99999116212146,23,203.9999907746918,24,183.9999907717127,24,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,14,1000014,253.9999882087052,400,32,295.99998822510247,32,273.99998821168936,32,253.9999882087052,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,15,1000015,305.99998658745767,400,35,315.9999873563643,33,325.9999865874622,35,305.99998658745767,35,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,16,1000016,235.9999885946503,400,30,275.99998850673444,30,255.99998859613927,30,235.9999885946503,30,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,17,1000017,215.99998925775475,400,28,247.999989654124,27,235.99998926073386,28,215.99998925775475,28,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,18,1000018,223.9999892517943,400,28,235.99999002218266,26,243.99998925328327,28,223.9999892517943,28,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,19,1000019,261.9999882116847,400,32,273.9999889791012,30,281.99998821317934,32,261.9999882116847,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,20,1000020,255.99998811333685,400,31,285.9999881252644,31,275.99998811632156,31,255.99998811333685,31,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,21,1000021,265.999987345927,400,33,293.9999877437946,32,285.99998735487213,33,265.999987345927,33,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,22,1000022,225.99998848438437,400,30,253.99998888522404,29,245.9999884888536,30,225.99998848438437,30,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,23,1000023,165.9999896377344,400,27,215.9999904170635,25,187.99998964220362,27,165.9999896377344,27,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,24,1000024,145.89999192208228,400,21,165.89999231845152,20,165.8999919265515,21,145.89999192208228,21,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,25,1000025,201.99998963475412,400,27,223.9999904066326,25,221.9999896362431,27,201.99998963475412,27,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,26,1000026,153.99999078065346,400,24,211.99999079257273,24,173.99999078214245,24,153.99999078065346,24,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,27,1000027,221.99998962879366,400,27,241.99999001920241,26,241.99998963326289,27,221.99998962879366,27,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,28,1000028,285.9999873474167,400,33,305.9999877378338,32,305.99998735040145,33,285.9999873474167,33,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,29,1000029,291.999985831969,400,37,299.9999873667952,33,313.99998583197356,37,291.999985831969,37,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,30,1000030,231.9999888718127,400,29,271.99998888224343,29,251.99998887628192,29,231.9999888718127,29,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,31,1000031,325.99998583196907,400,37,347.99998622536634,36,345.9999858364439,37,325.99998583196907,37,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,32,1000032,267.9999877273966,400,32,291.9999881193038,31,277.99998811185105,31,267.9999877273966,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,33,1000033,235.99998897612105,400,30,255.9999893665314,29,255.9999889761199,30,235.99998897612105,30,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,34,1000034,275.99998659043797,400,35,315.99998698383524,34,295.9999865919326,35,275.99998659043797,35,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,35,1000035,205.9999897331018,400,28,241.99999012202045,27,225.9999897345908,28,205.9999897331018,28,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,36,1000036,191.9999903991837,400,25,207.99999116659183,23,213.9999904006727,25,191.9999903991837,25,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,37,1000037,241.9999881148315,400,31,233.99998965263387,27,261.99998811632213,31,241.9999881148315,31,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,38,1000038,349.99998505859867,400,39,369.99998545199594,38,369.9999850630735,39,349.99998505859867,39,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,39,1000039,235.99998811185236,400,31,271.99998850226376,30,255.99998811334135,31,235.99998811185236,31,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,40,1000040,189.99998925179426,400,28,225.99999002814312,26,209.99998925179312,28,189.99998925179426,28,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,41,1000041,275.9999873548675,400,33,297.9999877437945,32,295.99998735636217,33,275.9999873548675,33,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,42,1000042,271.9999877348473,400,32,293.9999881222842,31,291.99998773634195,32,271.9999877348473,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,43,1000043,249.99998811333876,400,31,261.9999888926743,29,269.999988119302,31,249.99998811333876,31,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,44,1000044,211.9999888613838,400,29,209.99999040365236,25,231.99998886734315,29,211.9999888613838,29,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,45,1000045,255.99998848884607,400,30,275.9999888792631,29,265.9999888747906,29,255.99998848884607,30,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,46,1000046,225.99998887181448,400,29,249.9999892666936,28,245.9999888762837,29,225.99998887181448,29,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,47,1000047,231.99998925626298,400,28,265.9999892622234,28,251.99998925924208,28,231.99998925626298,28,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,48,1000048,227.99998925924424,400,28,257.99998926520357,28,247.99998926222335,28,227.99998925924424,28,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,49,1000049,199.99998925626466,400,28,227.99999003708388,26,223.99998926073388,28,199.99998925626466,28,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_patch.v2.yaml,resp_all_patch,50,1000050,273.99998744427523,400,34,271.999988514185,30,293.9999874442798,34,273.99998744427523,34,False,True
