model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_quarantine.v2.yaml,resp_all_quarantine,0,1000000,214.99998850375601,400,30,234.99998927265426,28,234.99998850673512,30,214.99998850375601,30,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_quarantine.v2.yaml,resp_all_quarantine,1,1000001,174.99998887330472,400,29,244.99998888224374,29,194.99998887330358,29,174.99998887330472,29,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_quarantine.v2.yaml,resp_all_quarantine,2,1000002,194.9999869629748,400,34,309.9999869748946,34,214.99998696744402,34,194.9999869629748,34,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_quarantine.v2.yaml,resp_all_quarantine,3,1000003,234.9999873518936,400,33,274.9999881297347,31,254.99998735934307,33,234.9999873518936,33,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_quarantine.v2.yaml,resp_all_quarantine,4,1000004,209.9999896287936,400,27,219.99999040365233,25,229.99998963475295,27,209.9999896287936,27,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_quarantine.v2.yaml,resp_all_quarantine,5,1000005,199.99998973161138,400,27,144.99999386370186,16,219.99998973906085,27,199.99998973161138,27,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_quarantine.v2.yaml,resp_all_quarantine,6,1000006,219.9999896258133,400,27,249.99998963475232,27,239.99998962730228,27,219.9999896258133,27,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_quarantine.v2.yaml,resp_all_quarantine,7,1000007,224.9999877318754,400,32,259.99998850226405,30,244.9999877348545,32,224.9999877318754,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_quarantine.v2.yaml,resp_all_quarantine,8,1000008,149.99999077767322,400,24,184.99999079257273,24,169.99999078214245,24,149.99999077767322,24,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_quarantine.v2.yaml,resp_all_quarantine,9,1000009,54.99998811483498,400,31,164.99998928308506,28,74.9999881163246,31,54.99998811483498,31,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_quarantine.v2.yaml,resp_all_quarantine,10,1000010,239.99998773187147,400,32,269.9999881207939,31,259.99998773336154,32,239.99998773187147,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_quarantine.v2.yaml,resp_all_quarantine,11,1000011,299.99998640119315,400,36,324.9999866962428,35,319.999986405668,36,299.99998640119315,36,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__resp_all_quarantine.v2.yaml,resp_all_quarantine,12,1000012,189.99998945146987,400,28,249.99998936355135,28,214.99998945295886,28,189.99998945146987,28,False,True
