model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__timeout_x2.v2.yaml,timeout_x2,0,1000000,234.9999888807529,400,29,268.99998927116405,28,254.99998888373202,29,234.9999888807529,29,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__timeout_x2.v2.yaml,timeout_x2,1,1000001,219.99998925477433,400,28,241.9999900251629,26,239.9999892547732,28,219.99998925477433,28,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__timeout_x2.v2.yaml,timeout_x2,2,1000002,266.99998696445715,400,34,326.4999869748946,34,286.9999869674419,34,266.99998696445715,34,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__timeout_x2.v2.yaml,timeout_x2,3,1000003,274.4999873503976,400,33,295.99998812675466,31,294.4999873578526,33,274.4999873503976,33,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__timeout_x2.v2.yaml,timeout_x2,4,1000004,223.99998963177384,400,27,233.9999904081227,25,243.99998963624307,27,223.99998963177384,27,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__timeout_x2.v2.yaml,timeout_x2,5,1000005,237.99998925030184,400,28,157.99999348372225,17,257.99998925179136,28,237.99998925030184,28,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__timeout_x2.v2.yaml,timeout_x2,6,1000006,227.49998962581333,400,27,247.49999001473205,26,247.4999896273023,27,227.49998962581333,27,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__timeout_x2.v2.yaml,timeout_x2,7,1000007,267.99998773335744,400,32,275.49998888820403,29,287.9999877348521,32,267.99998773335744,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__timeout_x2.v2.yaml,timeout_x2,8,1000008,148.49999078065346,400,24,222.99999079853322,24,168.49999078363257,24,148.49999078065346,24,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__timeout_x2.v2.yaml,timeout_x2,9,1000009,238.99998811334223,400,31,265.49998889416474,29,258.99998811483204,31,238.99998811334223,31,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__timeout_x2.v2.yaml,timeout_x2,10,1000010,267.49998773186684,400,32,291.49998811781364,31,287.4999877318714,32,267.49998773186684,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__timeout_x2.v2.yaml,timeout_x2,11,1000011,322.9999863073158,400,37,345.4999866962428,36,342.9999863103005,37,322.9999863073158,37,False,True
pendhrl_c0_seed1_final,../scenarios/variants_sensitivity/corp_100hosts_dynamic__timeout_x2.v2.yaml,timeout_x2,12,1000012,215.49998973608203,400,28,248.99999012500066,27,235.499989737571,28,215.49998973608203,28,False,True
