model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit,n_sensitive,n_hosts
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_chain,0,1000000,-21.100000298023417,400,16,-7.199999976158133,1,-17.199999976158118,1,-21.100000298023417,16,False,True,37,81
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_chain,1,1000001,-39.30000001192122,400,0,-9.300000011920913,0,-19.300000011920936,0,-39.30000001192122,0,False,True,26,82
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_chain,2,1000002,-46.4000000000004,400,0,-16.399999999999974,0,-26.400000000000116,0,-46.4000000000004,0,False,True,36,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_chain,3,1000003,-39.19999997615843,400,0,-9.199999976158127,0,-19.199999976158146,0,-39.19999997615843,0,False,True,28,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_chain,4,1000004,-37.40000000000026,400,0,-7.399999999999991,0,-17.39999999999998,0,-37.40000000000026,0,False,True,45,89
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_chain,5,1000005,-39.40000000000029,400,0,-9.299999999999983,0,-19.400000000000006,0,-39.40000000000029,0,False,True,33,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_chain,6,1000006,-28.300000166893234,400,6,-6.70000004768371,1,-16.600000047683686,1,-28.300000166893234,6,False,True,33,87
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_chain,7,1000007,-86.50000044107382,400,17,-7.600000023841848,0,-11.500000107288322,3,-86.50000044107382,17,False,True,37,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_chain,8,1000008,-39.39999997615843,400,0,-9.399999976158126,0,-19.39999997615815,0,-39.39999997615843,0,False,True,39,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_chain,9,1000009,-20.500000238418792,400,13,-7.599999988079062,0,-16.7000000119209,1,-20.500000238418792,13,False,True,37,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_chain,10,1000010,-37.799999952316554,400,0,-7.7999999523162735,0,-17.79999995231627,0,-37.799999952316554,0,False,True,30,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_chain,11,1000011,-38.59999997615842,400,0,-8.599999976158129,0,-18.599999976158138,0,-38.59999997615842,0,False,True,37,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_chain,12,1000012,-37.69999995231655,400,0,-7.699999952316274,0,-17.69999995231627,0,-37.69999995231655,0,False,True,36,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_chain,13,1000013,-36.60000004768397,400,1,-6.60000004768371,1,-16.600000047683686,1,-36.60000004768397,1,False,True,35,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_chain,14,1000014,-36.79999998807933,400,1,-6.7999999880790645,1,-16.799999988079044,1,-36.79999998807933,1,False,True,35,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_chain,15,1000015,-36.50000002384211,400,1,-6.500000023841853,1,-16.500000023841828,1,-36.50000002384211,1,False,True,38,86
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_chain,16,1000016,-37.69999995231655,400,0,-7.899999952316273,0,-17.79999995231627,0,-37.69999995231655,0,False,True,30,82
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_chain,17,1000017,-40.20000051260017,400,20,-7.400000035762778,0,-38.80000014305114,5,-40.20000051260017,20,False,True,30,86
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_chain,18,1000018,-48.20000044107454,400,20,-9.499999976158126,0,-19.69999997615815,0,-48.20000044107454,20,False,True,37,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_chain,19,1000019,-39.50000000000029,400,0,-9.499999999999982,0,-19.500000000000007,0,-39.50000000000029,0,False,True,36,81
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_chain,20,1000020,-39.800000000000296,400,0,-9.499999999999984,0,-19.800000000000015,0,-39.800000000000296,0,False,True,32,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_chain,21,1000021,-38.599999952316566,400,0,-8.59999995231627,0,-18.59999995231628,0,-38.599999952316566,0,False,True,43,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_chain,22,1000022,-32.20000011920946,400,4,-6.80000003576278,1,-13.90000009536739,3,-32.20000011920946,4,False,True,36,81
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_chain,23,1000023,-36.900000011921186,400,1,-6.9000000119209215,1,-16.900000011920902,1,-36.900000011921186,1,False,True,37,87
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_chain,24,1000024,-39.20000001192122,400,0,-9.200000011920913,0,-19.200000011920935,0,-39.20000001192122,0,False,True,34,82
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_chain,25,1000025,-39.29999997615843,400,0,-9.299999976158126,0,-19.299999976158148,0,-39.29999997615843,0,False,True,34,79
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_chain,26,1000026,-25.50000010728858,400,8,-6.899999999999992,1,-16.999999999999975,1,-25.50000010728858,8,False,True,38,82
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_chain,27,1000027,-38.69999997615842,400,0,-8.699999976158129,0,-18.69999997615814,0,-38.69999997615842,0,False,True,31,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_chain,28,1000028,-39.29999997615843,400,0,-9.299999976158126,0,-19.299999976158148,0,-39.29999997615843,0,False,True,32,80
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_chain,29,1000029,-68.10000047683728,400,22,-23.70000033378603,17,-50.50000042915358,20,-68.10000047683728,22,False,True,34,81
