model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit,n_sensitive,n_hosts
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,0,1000000,-36.79999995231654,400,1,-6.799999952316278,1,-16.799999952316256,1,-36.79999995231654,1,False,True,35,81
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,1,1000001,-36.700000023842115,400,1,-6.700000023841852,1,-16.70000002384183,1,-36.700000023842115,1,False,True,26,82
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,2,1000002,-19.10000030994427,400,15,-7.6999999284744165,0,-17.699999928474412,0,-19.10000030994427,15,False,True,25,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,3,1000003,-38.599999952316566,400,0,-8.59999995231627,0,-18.59999995231628,0,-38.599999952316566,0,False,True,34,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,4,1000004,-39.10000002384214,400,0,-9.000000023841842,0,-19.00000002384186,0,-39.10000002384214,0,False,True,31,89
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,5,1000005,-36.900000011921186,400,1,-7.000000011920921,1,-17.000000011920903,1,-36.900000011921186,1,False,True,36,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,6,1000006,-36.70000008344675,400,1,-6.700000083446495,1,-16.700000083446472,1,-36.70000008344675,1,False,True,31,87
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,7,1000007,-38.400000047683996,400,0,-8.400000047683703,0,-18.40000004768371,0,-38.400000047683996,0,False,True,34,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,8,1000008,-36.89999995231654,400,1,-6.899999952316278,1,-16.899999952316257,1,-36.89999995231654,1,False,True,36,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,9,1000009,-102.30000026225967,400,8,-6.800000047683708,1,-9.200000190734825,5,-102.30000026225967,8,False,True,37,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,10,1000010,-37.700000047683986,400,0,-7.9000000476837045,0,-17.800000047683703,0,-37.700000047683986,0,False,True,31,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,11,1000011,-37.0999999761584,400,1,-6.9999999761581355,1,-17.09999997615812,1,-37.0999999761584,1,False,True,35,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,12,1000012,-16.200000643730185,400,26,-6.799999952316277,1,-15.799999976158112,2,-16.200000643730185,26,False,True,32,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,13,1000013,-36.70000008344676,400,1,-6.700000083446497,1,-16.700000083446476,1,-36.70000008344676,1,False,True,34,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,14,1000014,-37.50000000000026,400,0,-7.49999999999999,0,-17.499999999999982,0,-37.50000000000026,0,False,True,34,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,15,1000015,-41.30000060796748,400,28,-6.5000000596046394,1,-7.800000298023191,13,-41.30000060796748,28,False,True,34,86
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,16,1000016,-37.89999992847469,400,0,-7.899999928474415,0,-17.89999992847441,0,-37.89999992847469,0,False,True,29,82
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,17,1000017,-37.20000002384212,400,1,-7.20000002384185,1,-17.200000023841838,1,-37.20000002384212,1,False,True,37,86
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,18,1000018,-38.40000002384213,400,0,-8.400000023841844,0,-18.40000002384185,0,-38.40000002384213,0,False,True,28,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,19,1000019,-36.800000011921185,400,1,-6.900000011920921,1,-16.900000011920902,1,-36.800000011921185,1,False,True,32,81
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,20,1000020,-27.00000065565119,400,28,8.699999606609353,16,-6.000000655651064,28,-27.00000065565119,28,False,True,32,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,21,1000021,-38.600000047684,400,0,-8.600000047683702,0,-18.600000047683714,0,-38.600000047684,0,False,True,34,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,22,1000022,-25.100000858306945,400,29,-1.0000002384185742,4,-8.900000643730161,19,-25.100000858306945,29,False,True,34,81
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,23,1000023,-38.69999995231657,400,0,-8.59999995231627,0,-18.699999952316283,0,-38.69999995231657,0,False,True,30,87
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,24,1000024,-36.600000023842114,400,1,-6.600000023841852,1,-16.60000002384183,1,-36.600000023842114,1,False,True,34,82
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,25,1000025,-38.40000002384213,400,0,-8.400000023841844,0,-18.40000002384185,0,-38.40000002384213,0,False,True,42,79
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,26,1000026,-38.299999952316554,400,0,-8.199999952316272,0,-18.299999952316274,0,-38.299999952316554,0,False,True,30,82
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,27,1000027,-36.9999999761584,400,1,-6.9999999761581355,1,-16.99999997615812,1,-36.9999999761584,1,False,True,39,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,28,1000028,-27.000000214576964,400,8,-6.900000071525566,1,-16.800000071525545,1,-27.000000214576964,8,False,True,34,80
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,29,1000029,-36.79999995231654,400,1,-6.799999952316278,1,-16.799999952316256,1,-36.79999995231654,1,False,True,32,81
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,30,1000030,-37.599999964237476,400,0,-7.599999964237203,0,-17.599999964237195,0,-37.599999964237476,0,False,True,37,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,31,1000031,-28.50000064373011,400,25,4.699999761581449,9,-4.70000026226041,10,-28.50000064373011,25,False,True,30,81
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,32,1000032,-26.700000262260556,400,12,-6.900000071525565,1,-16.900000071525547,1,-26.700000262260556,12,False,True,31,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,33,1000033,-3.8000006437301352,400,26,-6.900000011920922,1,-16.900000011920906,1,-3.8000006437301352,26,False,True,26,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,34,1000034,-8.200000786781255,400,33,13.999999451637265,23,9.799999260902426,31,-8.200000786781255,33,False,True,38,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,35,1000035,-36.900000047683974,400,1,-6.900000047683709,1,-16.90000004768369,1,-36.900000047683974,1,False,True,33,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,36,1000036,-36.700000023842115,400,1,-6.700000023841852,1,-16.70000002384183,1,-36.700000023842115,1,False,True,26,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,37,1000037,-18.500000262260524,400,14,0.4999999761581435,6,-7.20000007152556,8,-18.500000262260524,14,False,True,33,79
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,38,1000038,-37.69999998807934,400,0,-7.699999988079061,0,-17.699999988079057,0,-37.69999998807934,0,False,True,36,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,39,1000039,-36.90000007152583,400,1,-6.900000071525565,1,-16.900000071525547,1,-36.90000007152583,1,False,True,37,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,40,1000040,-37.69999996423748,400,0,-7.699999964237203,0,-17.699999964237197,0,-37.69999996423748,0,False,True,32,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,41,1000041,-36.80000004768397,400,1,-6.800000047683709,1,-16.80000004768369,1,-36.80000004768397,1,False,True,36,88
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,42,1000042,-36.80000007152583,400,1,-6.8000000715255675,1,-16.80000007152555,1,-36.80000007152583,1,False,True,37,79
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,43,1000043,-38.69999995231657,400,0,-8.69999995231627,0,-18.699999952316283,0,-38.69999995231657,0,False,True,36,87
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,44,1000044,-13.400000584125696,400,25,-7.9000000476837045,0,-17.900000047683704,0,-13.400000584125696,25,False,True,35,81
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,45,1000045,-36.60000008344676,400,1,-6.6000000834464965,1,-16.600000083446474,1,-36.60000008344676,1,False,True,34,87
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,46,1000046,-21.70000061988834,400,27,0.9999998331069936,8,-3.3000005960464427,26,-21.70000061988834,27,False,True,31,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,47,1000047,-38.500000047684,400,0,-8.500000047683702,0,-18.500000047683713,0,-38.500000047684,0,False,True,27,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,48,1000048,-24.000000548362777,400,26,-7.7999999523162735,0,-6.70000009536739,8,-24.000000548362777,26,False,True,38,81
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,49,1000049,-38.69999997615842,400,0,-8.699999976158129,0,-18.69999997615814,0,-38.69999997615842,0,False,True,33,82
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,50,1000050,-160.2000002264969,400,9,-6.500000059604639,1,-25.000000202655777,8,-160.2000002264969,9,False,True,32,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,51,1000051,-15.1000005960464,400,25,-6.699999999999993,1,-16.499999999999968,1,-15.1000005960464,25,False,True,37,88
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,52,1000052,-36.79999998807933,400,1,-6.799999988079065,1,-16.799999988079044,1,-36.79999998807933,1,False,True,28,82
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,53,1000053,-38.400000047683996,400,0,-8.400000047683703,0,-18.40000004768371,0,-38.400000047683996,0,False,True,32,80
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,54,1000054,-0.8000007867813096,400,32,1.8999997258186339,11,17.599999237060526,31,-0.8000007867813096,32,False,True,36,87
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,55,1000055,-36.600000059604895,400,1,-6.600000059604638,1,-16.600000059604614,1,-36.600000059604895,1,False,True,27,80
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,56,1000056,-37.699999928474696,400,0,-7.6999999284744165,0,-17.699999928474412,0,-37.699999928474696,0,False,True,36,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,57,1000057,-30.50000021457697,400,6,-7.700000023841848,0,-17.700000023841845,0,-30.50000021457697,6,False,True,35,81
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,58,1000058,-5.500000905990555,400,36,7.399999737739565,10,10.799999177455915,33,-5.500000905990555,36,False,True,39,87
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,59,1000059,-7.200000810623095,400,32,10.699999380111702,22,10.599999237060585,30,-7.200000810623095,32,False,True,36,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,60,1000060,-8.30000096559526,400,35,-6.800000047683709,1,-16.80000004768369,1,-8.30000096559526,35,False,True,38,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,61,1000061,-37.600000000000264,400,0,-7.59999999999999,0,-17.599999999999984,0,-37.600000000000264,0,False,True,30,80
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,62,1000062,-37.599999964237476,400,0,-7.599999964237203,0,-17.599999964237195,0,-37.599999964237476,0,False,True,34,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,63,1000063,-36.80000000000025,400,1,-6.799999999999994,1,-16.799999999999972,1,-36.80000000000025,1,False,True,32,89
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,64,1000064,-37.799999952316554,400,0,-7.7999999523162735,0,-17.79999995231627,0,-37.799999952316554,0,False,True,32,79
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,65,1000065,-36.9999999761584,400,1,-6.999999976158135,1,-16.999999976158115,1,-36.9999999761584,1,False,True,30,86
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,66,1000066,-36.79999995231654,400,1,-6.799999952316278,1,-16.799999952316256,1,-36.79999995231654,1,False,True,32,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,67,1000067,-36.800000083446754,400,1,-6.800000083446495,1,-16.800000083446474,1,-36.800000083446754,1,False,True,43,87
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_jitter0.5,68,1000068,-36.80000004768397,400,1,-6.900000047683709,1,-16.80000004768369,1,-36.80000004768397,1,False,True,22,83
