model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit,n_sensitive,n_hosts
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_mesh,0,1000000,-7.3000006675720055,400,31,15.399999642372132,17,12.699999356269819,30,-7.3000006675720055,31,False,True,37,81
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_mesh,1,1000001,-37.700000000000266,400,0,-7.699999999999989,0,-17.69999999999998,0,-37.700000000000266,0,False,True,26,82
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_mesh,2,1000002,-23.200000703335043,400,32,-13.799999952316254,1,-23.699999952316354,1,-23.200000703335043,32,False,True,36,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_mesh,3,1000003,-36.79999995231654,400,1,-6.799999952316277,1,-16.799999952316256,1,-36.79999995231654,1,False,True,28,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_mesh,4,1000004,-37.40000003576305,400,0,-7.400000035762778,0,-17.40000003576277,0,-37.40000003576305,0,False,True,45,89
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_mesh,5,1000005,-38.69999997615842,400,0,-8.699999976158129,0,-18.69999997615814,0,-38.69999997615842,0,False,True,33,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_mesh,6,1000006,-12.800000822544057,400,29,1.6999997735023524,6,0.49999958276748546,14,-12.800000822544057,29,False,True,33,87
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_mesh,7,1000007,-36.60000008344676,400,1,-6.6000000834464965,1,-16.600000083446474,1,-36.60000008344676,1,False,True,37,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_mesh,8,1000008,-20.00000067949299,400,31,-6.999999952316277,1,-16.899999952316257,1,-20.00000067949299,31,False,True,39,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_mesh,9,1000009,-28.300000953674434,400,36,-6.800000047683708,1,4.599999475479149,17,-28.300000953674434,36,False,True,37,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_mesh,10,1000010,-38.500000047684,400,0,-8.500000047683702,0,-18.500000047683713,0,-38.500000047684,0,False,True,30,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_mesh,11,1000011,-37.099999976158394,400,1,-8.69999995231627,0,-17.099999976158113,1,-37.099999976158394,1,False,True,37,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_mesh,12,1000012,-36.79999995231654,400,1,-6.799999952316278,1,-16.799999952316256,1,-36.79999995231654,1,False,True,36,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_mesh,13,1000013,-36.60000008344676,400,1,-6.6000000834464965,1,-16.600000083446474,1,-36.60000008344676,1,False,True,35,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_mesh,14,1000014,-37.700000000000266,400,0,-7.799999999999988,0,-17.799999999999983,0,-37.700000000000266,0,False,True,35,84
