model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit,n_sensitive,n_hosts
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_random,0,1000000,-34.30000002384208,400,2,-4.30000002384186,2,-14.300000023841825,2,-34.30000002384208,2,False,True,37,81
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_random,1,1000001,-10.900000631809185,400,26,-1.4000001788139358,6,-6.300000274181357,10,-10.900000631809185,26,False,True,31,82
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_random,2,1000002,-41.9000005126001,400,22,-7.699999952316274,0,-7.300000214576681,8,-41.9000005126001,22,False,True,29,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_random,3,1000003,-17.20000045299528,400,23,-0.30000004768371813,6,-4.4000001788139205,9,-17.20000045299528,23,False,True,31,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_random,4,1000004,-39.30000001192122,400,0,-9.300000011920913,0,-19.300000011920936,0,-39.30000001192122,0,False,True,42,89
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_random,5,1000005,-13.400000417232443,400,18,6.799999749660513,10,1.899999630451231,15,-13.400000417232443,18,False,True,37,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_random,6,1000006,-39.20000001192122,400,0,-9.200000011920913,0,-19.200000011920935,0,-39.20000001192122,0,False,True,34,87
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_random,7,1000007,-27.40000087022793,400,29,-5.200000309944136,6,-7.000000798702207,26,-27.40000087022793,29,False,True,35,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_random,8,1000008,1.499999272823163,400,32,26.69999941587447,26,21.299999272823197,32,1.499999272823163,32,False,True,37,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_random,9,1000009,-13.50000045299535,400,24,-0.5000001549720612,9,-13.30000015497204,9,-13.50000045299535,24,False,True,29,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_random,10,1000010,-38.69999995231657,400,0,-8.69999995231627,0,-18.699999952316283,0,-38.69999995231657,0,False,True,35,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_random,11,1000011,-11.000000619888255,400,25,14.699999451637265,22,8.899999380111709,25,-11.000000619888255,25,False,True,27,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_random,12,1000012,-36.7999999761584,400,1,-6.799999976158136,1,-16.799999976158116,1,-36.7999999761584,1,False,True,43,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_random,13,1000013,-12.600000846385925,400,30,22.69999920129774,28,7.199999153614039,30,-12.600000846385925,30,False,True,31,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_random,14,1000014,-39.499999976158435,400,0,-9.499999976158126,0,-19.49999997615815,0,-39.499999976158435,0,False,True,34,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_random,15,1000015,-39.19999997615843,400,0,-9.199999976158127,0,-19.199999976158146,0,-39.19999997615843,0,False,True,35,86
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_random,16,1000016,-19.000000596046398,400,27,-12.200000214576697,9,-6.900000476837111,21,-19.000000596046398,27,False,True,29,82
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_random,17,1000017,-39.600000011921225,400,0,-9.600000011920912,0,-19.60000001192094,0,-39.600000011921225,0,False,True,36,86
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_random,18,1000018,-38.499999988079345,400,0,-8.499999988079058,0,-18.499999988079065,0,-38.499999988079345,0,False,True,39,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_random,19,1000019,-21.80000019073489,400,12,1.999999904632583,7,-3.1000001668929955,11,-21.80000019073489,12,False,True,38,81
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_random,20,1000020,-38.59999997615842,400,0,-8.599999976158129,0,-18.599999976158138,0,-38.59999997615842,0,False,True,35,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_random,21,1000021,-12.900000810623105,400,33,6.899999499320998,21,3.0999992847442916,29,-12.900000810623105,33,False,True,39,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_random,22,1000022,3.999999165534811,400,33,13.899999594688405,16,22.899999189376736,32,3.999999165534811,33,False,True,36,81
