model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit,n_sensitive,n_hosts
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,0,1000000,-36.79999995231654,400,1,-6.799999952316278,1,-16.799999952316256,1,-36.79999995231654,1,False,True,20,54
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,1,1000001,-37.700000000000266,400,0,-7.6999999999999895,0,-17.699999999999985,0,-37.700000000000266,0,False,True,18,56
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,2,1000002,-38.79999995231657,400,0,-8.79999995231627,0,-18.799999952316284,0,-38.79999995231657,0,False,True,14,55
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,3,1000003,-38.69999995231657,400,0,-8.69999995231627,0,-18.699999952316283,0,-38.69999995231657,0,False,True,15,55
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,4,1000004,-38.500000023842134,400,0,-8.400000023841844,0,-18.40000002384185,0,-38.500000023842134,0,False,True,19,60
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,5,1000005,-36.800000011921185,400,1,-6.800000011920923,1,-16.800000011920904,1,-36.800000011921185,1,False,True,21,55
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,6,1000006,-27.100000226497883,400,6,-7.600000059604634,0,-17.60000005960463,0,-27.100000226497883,6,False,True,18,61
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,7,1000007,-36.90000050067935,400,20,-2.6000001192092808,4,-26.800000286102367,11,-36.90000050067935,20,False,True,22,55
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,8,1000008,-22.400000190734893,400,12,-6.999999952316277,1,-5.600000119209256,9,-22.400000190734893,12,False,True,26,54
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,9,1000009,-36.80000004768397,400,1,-6.800000047683709,1,-16.80000004768369,1,-36.80000004768397,1,False,True,24,56
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,10,1000010,-38.800000047684,400,0,-8.800000047683701,0,-18.800000047683717,0,-38.800000047684,0,False,True,18,56
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,11,1000011,-38.599999952316566,400,0,-8.59999995231627,0,-18.59999995231628,0,-38.599999952316566,0,False,True,18,56
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,12,1000012,-188.40000013112925,400,7,-6.799999952316278,1,-26.000000059604627,4,-188.40000013112925,7,False,True,23,55
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,13,1000013,-37.60000005960491,400,0,-7.600000059604635,0,-17.60000005960463,0,-37.60000005960491,0,False,True,22,58
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,14,1000014,-28.100000143051265,400,6,1.8999998569488694,6,-8.100000143051119,6,-28.100000143051265,6,False,True,22,55
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,15,1000015,-38.500000023842134,400,0,-8.500000023841844,0,-18.500000023841853,0,-38.500000023842134,0,False,True,26,59
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,16,1000016,-26.700000143051255,400,8,2.29999988079073,7,-7.70000011920926,7,-26.700000143051255,8,False,True,21,54
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,17,1000017,-36.60000003576304,400,1,-6.600000035762781,1,-16.600000035762758,1,-36.60000003576304,1,False,True,17,59
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,18,1000018,-36.50000005960489,400,1,-6.600000059604638,1,-16.500000059604613,1,-36.50000005960489,1,False,True,23,57
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,19,1000019,-37.799999988079335,400,0,-7.79999998807906,0,-17.799999988079055,0,-37.799999988079335,0,False,True,25,52
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,20,1000020,-36.9999999761584,400,1,-6.9999999761581355,1,-16.99999997615812,1,-36.9999999761584,1,False,True,17,54
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,21,1000021,-256.20000027418,400,9,0.5999997973442063,6,-144.40000022649735,7,-256.20000027418,9,False,True,21,56
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,22,1000022,-24.80000035762794,400,9,1.99999971389772,6,-5.900000333785994,8,-24.80000035762794,9,False,True,21,54
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,23,1000023,-37.599999964237476,400,0,-7.599999964237203,0,-17.599999964237195,0,-37.599999964237476,0,False,True,22,57
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,24,1000024,-38.30000002384213,400,0,-8.300000023841845,0,-18.30000002384185,0,-38.30000002384213,0,False,True,22,55
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,25,1000025,-37.40000003576305,400,0,-7.400000035762778,0,-17.40000003576277,0,-37.40000003576305,0,False,True,22,54
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,26,1000026,-39.09999995231657,400,0,-9.099999952316269,0,-19.09999995231629,0,-39.09999995231657,0,False,True,20,54
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,27,1000027,-37.799999952316554,400,0,-7.7999999523162735,0,-17.79999995231627,0,-37.799999952316554,0,False,True,16,56
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,28,1000028,-38.700000047684,400,0,-8.700000047683702,0,-18.700000047683716,0,-38.700000047684,0,False,True,18,53
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,29,1000029,-38.599999952316566,400,0,-8.59999995231627,0,-18.59999995231628,0,-38.599999952316566,0,False,True,16,52
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,30,1000030,-37.599999964237476,400,0,-7.599999964237203,0,-17.599999964237195,0,-37.599999964237476,0,False,True,21,56
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,31,1000031,-22.000000405311553,400,17,7.699999737739574,11,2.999999594688451,17,-22.000000405311553,17,False,True,19,55
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,32,1000032,-70.80000021457678,400,7,0.39999983310699017,5,-30.00000019073491,6,-70.80000021457678,7,False,True,20,54
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,33,1000033,-26.900000214576952,400,7,-6.900000011920922,1,-16.900000011920906,1,-26.900000214576952,7,False,True,20,54
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,34,1000034,-36.50000000000025,400,1,-6.499999999999994,1,-16.499999999999968,1,-36.50000000000025,1,False,True,22,61
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,35,1000035,-37.800000023842124,400,0,-7.8000000238418465,0,-17.800000023841843,0,-37.800000023842124,0,False,True,20,57
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,36,1000036,-36.600000023842114,400,1,-6.600000023841853,1,-16.60000002384183,1,-36.600000023842114,1,False,True,20,58
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,37,1000037,-37.399999976158405,400,1,-7.399999976158133,1,-17.39999997615812,1,-37.399999976158405,1,False,True,15,53
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,38,1000038,-37.69999998807934,400,0,-7.699999988079061,0,-17.699999988079057,0,-37.69999998807934,0,False,True,17,56
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,39,1000039,-39.100000047684006,400,0,-9.1000000476837,0,-19.10000004768372,0,-39.100000047684006,0,False,True,21,54
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,40,1000040,-37.59999997615841,400,1,-7.5999999761581325,1,-17.599999976158124,1,-37.59999997615841,1,False,True,24,56
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,41,1000041,-33.800000512600135,400,16,-13.100000321865059,8,-13.900000512599894,16,-33.800000512600135,16,False,True,18,58
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,42,1000042,-17.000000429153395,400,15,-4.300000095367423,1,-4.600000286102291,9,-17.000000429153395,15,False,True,16,52
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,43,1000043,-27.100000166893253,400,7,-7.799999928474416,0,-17.799999928474413,0,-27.100000166893253,7,False,True,23,57
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,44,1000044,-37.90000004768399,400,0,-7.9000000476837045,0,-17.900000047683704,0,-37.90000004768399,0,False,True,18,52
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,45,1000045,-36.60000008344675,400,1,-6.600000083446496,1,-16.60000008344647,1,-36.60000008344675,1,False,True,17,58
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,46,1000046,-37.99999992847469,400,0,-7.9999999284744145,0,-17.999999928474413,0,-37.99999992847469,0,False,True,19,57
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,47,1000047,-22.900000238418805,400,10,-7.5000000238418485,0,-17.500000023841842,0,-22.900000238418805,10,False,True,20,57
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,48,1000048,-95.30000015497161,400,8,-5.3000001549720706,8,-34.80000015497214,8,-95.30000015497161,8,False,True,21,54
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,49,1000049,-36.8999999761584,400,1,-6.899999976158136,1,-16.899999976158117,1,-36.8999999761584,1,False,True,19,53
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,50,1000050,-38.500000023842134,400,0,-8.500000023841844,0,-18.500000023841853,0,-38.500000023842134,0,False,True,23,57
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,51,1000051,-18.90000038743015,400,20,-6.599999999999994,1,-8.600000196695296,12,-18.90000038743015,20,False,True,23,60
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,52,1000052,-148.40000039338915,400,18,-68.00000015497211,8,-127.7000003695484,17,-148.40000039338915,18,False,True,21,55
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,53,1000053,-37.70000002384213,400,0,-7.700000023841848,0,-17.700000023841845,0,-37.70000002384213,0,False,True,21,53
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,54,1000054,-38.499999952316564,400,0,-8.499999952316271,0,-18.49999995231628,0,-38.499999952316564,0,False,True,29,59
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,55,1000055,-30.40000017881418,400,4,-7.500000035762778,0,-17.50000003576277,0,-30.40000017881418,4,False,True,17,55
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,56,1000056,-36.79999995231656,400,1,-8.499999952316271,0,-17.499999976158136,1,-36.79999995231656,1,False,True,17,54
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,57,1000057,-36.70000004768397,400,1,-6.70000004768371,1,-16.700000047683687,1,-36.70000004768397,1,False,True,19,55
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_dynamic_small,58,1000058,-37.699999928474696,400,0,-7.6999999284744165,0,-17.699999928474412,0,-37.699999928474696,0,False,True,21,57
