model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit,n_sensitive,n_hosts
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_profile_bridge,0,1000000,-56.69999995529687,400,0,-12.399999955296499,0,-27.399999955296504,0,-56.69999995529687,0,False,True,33,81
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_profile_bridge,1,1000001,-78.30000002533255,400,0,-18.300000025331943,0,-38.30000002533198,0,-78.30000002533255,0,False,True,25,82
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_profile_bridge,2,1000002,-77.99999995529704,400,0,-22.19999995529648,0,-40.69999995529658,0,-77.99999995529704,0,False,True,30,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_profile_bridge,3,1000003,-37.39999991953399,400,1,-7.3999999195337205,1,-17.39999991953371,1,-37.39999991953399,1,False,True,25,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_profile_bridge,4,1000004,-37.80000002682236,400,1,-7.800000026822078,1,-17.800000026822076,1,-37.80000002682236,1,False,True,38,89
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_profile_bridge,5,1000005,-38.09999999254969,400,0,-8.099999992549408,0,-18.09999999254941,0,-38.09999999254969,0,False,True,23,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_profile_bridge,6,1000006,-38.10000006407527,400,0,-8.900000050663934,0,-18.100000064074983,0,-38.10000006407527,0,False,True,29,87
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_profile_bridge,7,1000007,-37.800000038743285,400,1,-8.700000050663935,0,-17.800000038743004,1,-37.800000038743285,1,False,True,32,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_profile_bridge,8,1000008,-38.19999993294505,400,0,-8.199999932944763,0,-18.199999932944767,0,-38.19999993294505,0,False,True,27,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_profile_bridge,9,1000009,-78.99999987930052,400,25,-8.550000028312192,0,-7.85000005364416,8,-78.99999987930052,25,False,True,26,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_profile_bridge,10,1000010,-20.649999815225648,400,27,-8.450000052154051,0,-18.45000005215406,0,-20.649999815225648,27,False,True,27,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_profile_bridge,11,1000011,-74.44999995529695,400,0,-18.59999995380637,0,-38.59999995380642,0,-74.44999995529695,0,False,True,26,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_profile_bridge,12,1000012,-37.999999932945045,400,0,-7.999999932944763,0,-17.999999932944764,0,-37.999999932945045,0,False,True,30,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_profile_bridge,13,1000013,-58.09999987483063,400,16,-16.500000049173806,1,-33.300000014901094,7,-58.09999987483063,16,False,True,33,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_profile_bridge,14,1000014,-22.849999757111092,400,26,8.75000003427269,15,1.2500001534819967,26,-22.849999757111092,26,False,True,30,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_profile_bridge,15,1000015,-36.800000026822346,400,1,-6.800000026822083,1,-16.80000002682206,1,-36.800000026822346,1,False,True,30,86
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_profile_bridge,16,1000016,-78.54999995380697,400,0,-18.49999995380637,0,-38.499999953806416,0,-78.54999995380697,0,False,True,28,82
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_profile_bridge,17,1000017,-39.60000001639157,400,0,-9.60000001639126,0,-19.600000016391288,0,-39.60000001639157,0,False,True,27,86
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_profile_bridge,18,1000018,-38.90000004023342,400,0,-8.900000040233122,0,-18.900000040233138,0,-38.90000004023342,0,False,True,25,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_profile_bridge,19,1000019,-57.69999997913877,400,0,-13.399999979138352,0,-27.399999979138386,0,-57.69999997913877,0,False,True,35,81
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_profile_bridge,20,1000020,-77.19999995529707,400,0,-17.499999955296488,0,-37.399999955296515,0,-77.19999995529707,0,False,True,25,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_profile_bridge,21,1000021,-37.60000001639154,400,1,-7.600000016391267,1,-17.60000001639126,1,-37.60000001639154,1,False,True,34,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_profile_bridge,22,1000022,-42.09999986290939,400,30,8.999999986588984,16,-9.499999995529606,18,-42.09999986290939,30,False,True,33,81
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_profile_bridge,23,1000023,-24.099999889731578,400,15,-7.9999999687075505,0,-17.99999996870755,0,-24.099999889731578,15,False,True,28,87
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_profile_bridge,24,1000024,-37.09999999105956,400,1,-7.099999991059296,1,-17.09999999105928,1,-37.09999999105956,1,False,True,28,82
