model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit,n_sensitive,n_hosts
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_profile_varB,0,1000000,-44.699999928474774,400,0,-9.199999928474414,0,-19.899999928474436,0,-44.699999928474774,0,False,True,32,81
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_profile_varB,1,1000001,-38.50000000000028,400,0,-9.100000023841842,0,-18.499999999999993,0,-38.50000000000028,0,False,True,21,82
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_profile_varB,2,1000002,-39.600000154972335,400,9,-13.899999940395318,0,-27.899999940395364,0,-39.600000154972335,9,False,True,29,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_profile_varB,3,1000003,-39.199999952316574,400,0,-9.199999952316269,0,-19.19999995231629,0,-39.199999952316574,0,False,True,23,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_profile_varB,4,1000004,-37.900000035763064,400,0,-8.700000023841843,0,-17.90000003576278,0,-37.900000035763064,0,False,True,34,89
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_profile_varB,5,1000005,-39.49999997615843,400,0,-8.999999976158128,0,-18.999999976158144,0,-39.49999997615843,0,False,True,22,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_profile_varB,6,1000006,-39.30000004768401,400,0,-9.2000000476837,0,-19.300000047683724,0,-39.30000004768401,0,False,True,25,87
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_profile_varB,7,1000007,-53.60000004768397,400,0,-17.100000047683693,0,-33.70000004768369,0,-53.60000004768397,0,False,True,31,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_profile_varB,8,1000008,-38.399999928474706,400,0,-8.99999995231627,0,-18.999999952316287,0,-38.399999928474706,0,False,True,27,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_profile_varB,9,1000009,-38.900000047684,400,0,-8.900000047683701,0,-18.90000004768372,0,-38.900000047684,0,False,True,24,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_profile_varB,10,1000010,-46.30000004768409,400,0,-15.600000047683686,0,-25.9000000476838,0,-46.30000004768409,0,False,True,25,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_profile_varB,11,1000011,-48.29999995231666,400,0,-9.599999952316269,0,-20.1999999523163,0,-48.29999995231666,0,False,True,24,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_profile_varB,12,1000012,-39.499999928474715,400,0,-9.599999928474409,0,-19.599999928474436,0,-39.499999928474715,0,False,True,29,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_profile_varB,13,1000013,-39.100000047684006,400,0,-9.1000000476837,0,-19.10000004768372,0,-39.100000047684006,0,False,True,31,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_profile_varB,14,1000014,-39.00000002384214,400,0,-9.100000023841842,0,-19.10000002384186,0,-39.00000002384214,0,False,True,24,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_profile_varB,15,1000015,-38.40000003576307,400,0,-9.100000023841842,0,-19.10000002384186,0,-38.40000003576307,0,False,True,26,86
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_profile_varB,16,1000016,-38.9999999284747,400,0,-9.29999995231627,0,-18.799999928474424,0,-38.9999999284747,0,False,True,26,82
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,gen_profile_varB,17,1000017,-38.60000001192121,400,0,-8.500000011920918,0,-18.60000001192093,0,-38.60000001192121,0,False,True,24,86
