model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit,n_sensitive,n_hosts
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,handmade_bridge,0,1000000,166.30000446438996,400,24,200.80000429302484,23,187.3000044643888,24,166.30000446438996,24,False,True,28,78
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,handmade_bridge,1,1000001,187.35000485182002,400,26,170.80000374615213,20,200.7500046715148,25,187.35000485182002,26,False,True,29,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,handmade_bridge,2,1000002,250.10000578462703,400,31,277.50000564008985,30,270.9000057935705,31,250.10000578462703,31,False,True,35,90
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,handmade_bridge,3,1000003,178.10000483691897,400,26,173.00000391751558,21,206.10000484734863,26,178.10000483691897,26,False,True,29,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,handmade_bridge,4,1000004,191.00000463724342,400,25,204.30000428855453,23,211.70000464618298,25,191.00000463724342,25,False,True,26,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,handmade_bridge,5,1000005,194.00000501871295,400,27,140.20000296235094,16,204.20000482797695,26,194.00000501871295,27,False,True,31,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,handmade_bridge,6,1000006,215.10000520646776,400,28,255.100005231798,28,235.50000520944684,28,215.10000520646776,28,False,True,29,86
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,handmade_bridge,7,1000007,208.00000503063407,400,27,212.2000044897202,24,228.70000503361314,27,208.00000503063407,27,False,True,30,82
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,handmade_bridge,8,1000008,91.1000034838936,400,19,149.50000333339017,18,111.6000034928332,19,91.1000034838936,19,False,True,21,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,handmade_bridge,9,1000009,178.50000522434934,400,28,208.60000430047543,23,205.50000522434817,28,178.50000522434934,28,False,True,30,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,handmade_bridge,10,1000010,234.10000560581724,400,30,250.00000525116937,28,254.50000560581609,30,234.10000560581724,30,False,True,32,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,handmade_bridge,11,1000011,216.50000520944783,400,28,202.50000410228984,22,237.0000052183874,28,216.50000520944783,28,False,True,30,88
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,handmade_bridge,12,1000012,179.90000445246886,400,24,186.1000039041044,21,200.50000445842818,24,179.90000445246886,24,False,True,25,80
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,handmade_bridge,13,1000013,202.70000483691902,400,26,229.80000466555387,25,223.1000048398981,26,202.70000483691902,26,False,True,29,86
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,handmade_bridge,14,1000014,172.10000444948878,400,24,208.6000042855743,23,192.20000444948764,24,172.10000444948878,24,False,True,28,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,handmade_bridge,15,1000015,279.10000618099554,400,33,300.9000060066582,32,299.7000061809999,33,279.10000618099554,33,False,True,35,87
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,handmade_bridge,16,1000016,172.50000463724336,400,25,212.10000449717074,24,183.9000044748196,24,172.50000463724336,25,False,True,26,81
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,handmade_bridge,17,1000017,150.85000464618426,400,25,199.50000451654233,24,172.60000465214358,25,150.85000464618426,25,False,True,29,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,handmade_bridge,18,1000018,177.75000461638166,400,25,159.3000035241249,19,198.20000461936075,25,177.75000461638166,25,False,True,27,87
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,handmade_bridge,19,1000019,188.40000483095812,400,26,142.7000033468008,18,169.60000407844836,22,188.40000483095812,26,False,True,27,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,handmade_bridge,20,1000020,226.80000520944748,400,28,259.0000052437188,28,247.40000522136728,28,226.80000520944748,28,False,True,30,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,handmade_bridge,21,1000021,194.50000503659444,400,27,214.9000044867398,24,205.40000485479914,26,194.50000503659444,27,False,True,29,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,handmade_bridge,22,1000022,199.10000495910828,400,26,202.60000427663337,23,219.90000497102807,26,199.10000495910828,26,False,True,31,90
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,handmade_bridge,23,1000023,148.50000405907815,400,22,153.400003322959,18,171.80000407248806,22,148.50000405907815,22,False,True,23,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,handmade_bridge,24,1000024,145.1500040799397,400,22,171.1500039443374,21,165.750004085899,22,145.1500040799397,22,False,True,29,80
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,handmade_bridge,25,1000025,170.3500042676945,400,23,177.1000037342312,20,190.8500042736538,23,170.3500042676945,23,False,True,25,88
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,handmade_bridge,26,1000026,127.60000386238306,400,20,157.40000352263485,18,148.20000386834238,20,127.60000386238306,20,False,True,25,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,handmade_bridge,27,1000027,198.50000462979276,400,25,220.45000446140793,24,219.25000464022244,25,198.50000462979276,25,False,True,26,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,handmade_bridge,28,1000028,257.9500057935652,400,31,279.55000562816866,30,278.55000580251027,31,257.9500057935652,31,False,True,32,80
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,handmade_bridge,29,1000029,208.30000521242826,400,28,250.20000503659278,27,228.40000521242712,28,208.30000521242826,28,False,True,29,86
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,handmade_bridge,30,1000030,191.00000463724336,400,25,178.00000370740918,20,202.45000446140853,24,191.00000463724336,25,False,True,26,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,handmade_bridge,31,1000031,244.00000579654989,400,31,266.0000054463747,29,264.80000580251135,31,244.00000579654989,31,False,True,35,87
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,handmade_bridge,32,1000032,187.25000481009687,400,26,213.50000449568068,24,207.75000481903643,26,187.25000481009687,26,False,True,29,89
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,handmade_bridge,33,1000033,107.60000367760867,400,20,149.10000331848886,18,128.00000368952848,20,107.60000367760867,20,False,True,22,77
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,handmade_bridge,34,1000034,187.100005224349,400,28,165.40000394284732,21,197.7000050365932,27,187.100005224349,28,False,True,32,88
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,handmade_bridge,35,1000035,160.30000444054818,400,24,193.10000409632957,22,181.10000444650748,24,160.30000444054818,24,False,True,26,87
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,handmade_bridge,36,1000036,129.6000036627074,400,20,151.20000333339001,18,150.00000366866672,20,129.6000036627074,20,False,True,25,81
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,handmade_bridge,37,1000037,207.400005221369,400,28,174.1000039294366,21,227.80000522136785,28,207.400005221369,28,False,True,31,86
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,handmade_bridge,38,1000038,278.50000615715385,400,33,301.1000060066582,32,299.1000061720594,33,278.50000615715385,33,False,True,33,89
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,handmade_bridge,39,1000039,206.40000502765386,400,27,191.7000040978197,22,188.20000428557492,23,206.40000502765386,27,False,True,29,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,handmade_bridge,40,1000040,166.80000444054804,400,24,204.1000042885545,23,187.10000444054688,24,166.80000444054804,24,False,True,25,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_bridge.v2.yaml,handmade_bridge,41,1000041,238.05000540912013,400,29,259.5000052362683,28,258.6000054150802,29,238.05000540912013,29,False,True,31,84
