model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit,n_sensitive,n_hosts
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varA.v2.yaml,handmade_varA,0,1000000,104.5999927252541,400,19,29.399997703731053,6,90.19999464899318,14,104.5999927252541,19,False,True,29,78
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varA.v2.yaml,handmade_varA,1,1000001,57.39999388009277,400,16,54.099997322261196,7,32.399996557831486,9,57.39999388009277,16,False,True,32,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varA.v2.yaml,handmade_varA,2,1000002,178.8999908164161,400,24,82.29999617785214,10,156.1999927431349,19,178.8999908164161,24,False,True,36,90
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varA.v2.yaml,handmade_varA,3,1000003,107.99999274015407,400,19,33.2999980881809,5,12.699998088180793,5,107.99999274015407,19,False,True,33,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varA.v2.yaml,handmade_varA,4,1000004,130.09999234527498,400,20,93.1999957963824,11,129.59999350458418,17,130.09999234527498,20,False,True,32,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varA.v2.yaml,handmade_varA,5,1000005,69.79999388009298,400,16,-9.900000765919655,2,-20.7000007659197,2,69.79999388009298,16,False,True,33,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varA.v2.yaml,handmade_varA,6,1000006,138.59999243170188,400,21,69.29999655932177,9,145.99999274313487,19,138.59999243170188,21,False,True,29,86
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varA.v2.yaml,handmade_varA,7,1000007,148.5999915942565,400,22,79.59999579638233,11,159.59999197721515,21,148.5999915942565,22,False,True,32,82
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varA.v2.yaml,handmade_varA,8,1000008,74.39999425262283,400,15,60.099996940791485,8,62.899995794892405,11,74.39999425262283,15,False,True,25,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varA.v2.yaml,handmade_varA,9,1000009,144.69999195188436,400,21,105.19999541342261,12,119.09999388307375,16,144.69999195188436,21,False,True,33,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varA.v2.yaml,handmade_varA,10,1000010,109.29999236017576,400,20,81.39999579787253,11,112.39999312460448,18,109.29999236017576,20,False,True,32,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varA.v2.yaml,handmade_varA,11,1000011,115.59999197125589,400,21,78.59999618083233,10,130.8999931201342,18,115.59999197125589,21,False,True,34,88
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varA.v2.yaml,handmade_varA,12,1000012,91.1999934852135,400,17,112.79999503493315,13,102.09999426752366,15,91.1999934852135,17,False,True,28,80
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varA.v2.yaml,handmade_varA,13,1000013,80.89999311566481,400,18,91.49999579787251,11,126.4999938875441,16,80.89999311566481,18,False,True,30,86
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varA.v2.yaml,handmade_varA,14,1000014,154.69999204576203,400,22,106.19999541640284,12,173.79999196976493,21,154.69999204576203,22,False,True,30,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varA.v2.yaml,handmade_varA,15,1000015,124.69999283701327,400,20,84.6999966576696,10,126.69999436438123,16,124.69999283701327,20,False,True,35,87
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varA.v2.yaml,handmade_varA,16,1000016,40.89999388158385,400,16,97.59999541640285,12,111.59999388754395,16,40.89999388158385,16,False,True,28,81
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varA.v2.yaml,handmade_varA,17,1000017,122.09999195039404,400,21,72.89999617785207,10,136.59999236017478,20,122.09999195039404,21,False,True,30,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varA.v2.yaml,handmade_varA,18,1000018,134.49999195635453,400,21,94.59999579787252,11,118.09999388754412,16,134.49999195635453,21,False,True,30,87
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varA.v2.yaml,handmade_varA,19,1000019,49.79999311715372,400,18,34.099997325241446,7,38.19999541491247,12,49.79999311715372,18,False,True,29,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varA.v2.yaml,handmade_varA,20,1000020,44.59999388456317,400,16,28.799997706711235,6,63.59999465197331,14,44.59999388456317,16,False,True,30,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varA.v2.yaml,handmade_varA,21,1000021,179.4999904498481,400,25,135.79999427199382,15,196.39999121576653,23,179.4999904498481,25,False,True,31,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varA.v2.yaml,handmade_varA,22,1000022,61.39999311417418,400,18,84.69999579489225,11,105.79999388456353,16,61.39999311417418,18,False,True,32,90
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varA.v2.yaml,handmade_varA,23,1000023,-30.3000038236382,400,10,20.799998086690852,5,21.599996940791474,8,-30.3000038236382,10,False,True,29,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varA.v2.yaml,handmade_varA,24,1000024,44.39999427050378,400,15,89.59999579787267,11,55.69999541640329,12,44.39999427050378,15,False,True,31,80
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varA.v2.yaml,handmade_varA,25,1000025,105.299993479253,400,17,78.19999617636206,10,127.69999350458414,17,105.299993479253,17,False,True,24,88
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varA.v2.yaml,handmade_varA,26,1000026,64.69999501854218,400,13,-19.300000001490147,0,65.89999617785205,10,64.69999501854218,13,False,True,25,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varA.v2.yaml,handmade_varA,27,1000027,210.79999004155607,400,26,174.89999274313482,19,211.69999082684618,24,210.79999004155607,26,False,True,29,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varA.v2.yaml,handmade_varA,28,1000028,97.39999312311492,400,18,58.299996942281616,8,104.09999426901342,15,97.39999312311492,18,False,True,31,80
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varA.v2.yaml,handmade_varA,29,1000029,63.399993504584735,400,17,87.99999579638254,11,107.09999426752377,15,63.399993504584735,17,False,True,29,86
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varA.v2.yaml,handmade_varA,30,1000030,106.69999350160337,400,17,34.79999770224082,6,42.599996939301214,8,106.69999350160337,17,False,True,27,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varA.v2.yaml,handmade_varA,31,1000031,61.599992363155536,400,20,6.999998851120452,3,94.29999427050356,15,61.599992363155536,20,False,True,35,87
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varA.v2.yaml,handmade_varA,32,1000032,79.89999386519243,400,16,38.59999732375138,7,67.29999541342258,12,79.89999386519243,16,False,True,29,89
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varA.v2.yaml,handmade_varA,33,1000033,73.9999946415434,400,14,45.29999770224084,6,90.69999541193248,12,73.9999946415434,14,False,True,26,77
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varA.v2.yaml,handmade_varA,34,1000034,150.49999118447397,400,23,56.599996562302046,9,123.99999312162403,18,150.49999118447397,23,False,True,33,88
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varA.v2.yaml,handmade_varA,35,1000035,125.89999271929398,400,19,79.19999617636199,10,139.29999312460436,18,125.89999271929398,19,False,True,25,87
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varA.v2.yaml,handmade_varA,36,1000036,-58.40000000000051,400,0,-28.400000000000084,0,-38.400000000000226,0,-58.40000000000051,0,False,True,26,81
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varA.v2.yaml,handmade_varA,37,1000037,87.89999386668308,400,16,74.9999961808324,10,72.99999579787298,11,87.89999386668308,16,False,True,31,86
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varA.v2.yaml,handmade_varA,38,1000038,119.99999083429717,400,24,120.99999427050365,15,96.29999350756461,17,119.99999083429717,24,False,True,35,89
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varA.v2.yaml,handmade_varA,39,1000039,96.79999347925272,400,17,75.39999656081191,9,100.29999426901354,15,96.79999347925272,17,False,True,30,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varA.v2.yaml,handmade_varA,40,1000040,82.69999388158449,400,16,70.39999617636207,10,103.69999388456368,16,82.69999388158449,16,False,True,25,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varA.v2.yaml,handmade_varA,41,1000041,8.599995030462534,400,13,11.999998851120493,3,53.79999617934216,10,8.599995030462534,13,False,True,32,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varA.v2.yaml,handmade_varA,42,1000042,112.4999928295623,400,20,81.49999579787247,11,82.6999951288106,14,112.4999928295623,20,False,True,33,86
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varA.v2.yaml,handmade_varA,43,1000043,148.49999157041515,400,22,134.79999426901355,15,165.69999235570518,20,148.49999157041515,22,False,True,30,83
