model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,0,1000000,205.99998812228492,400,31,275.4999885141851,30,238.99998812526403,31,205.99998812228492,31,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,1,1000001,159.49998887479444,400,29,255.49998926073332,28,180.4999888747933,29,159.49998887479444,29,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,2,1000002,234.99998696595327,400,34,312.4999873548743,33,254.99998696744225,34,234.99998696595327,34,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,3,1000003,228.99998735040438,400,33,290.49998812973496,31,248.99998735934398,33,228.99998735040438,33,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,4,1000004,160.99998963326397,400,27,175.49999156445287,22,170.99999001920293,26,160.99998963326397,27,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,5,1000005,159.99998925775446,400,28,137.9999938666821,16,204.49998926073357,28,159.99998925775446,28,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,6,1000006,209.49998962730334,400,27,250.99998963326212,27,229.4999896273022,27,209.49998962730334,27,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,7,1000007,234.49998773336347,400,32,291.49998812377453,31,254.49998773932282,32,234.49998773336347,32,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,8,1000008,104.99999078065346,400,24,199.99999117255234,23,127.99999078065233,24,104.99999078065346,24,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,9,1000009,207.4999890655296,400,31,205.99999129027148,24,231.4999890685087,31,207.4999890655296,31,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,10,1000010,213.49998773187392,400,32,292.99998811781387,31,233.4999877333629,32,213.49998773187392,32,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,11,1000011,273.4999863088059,400,37,354.4999863147731,37,293.4999863117906,37,273.4999863088059,37,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,12,1000012,198.99998887777448,400,29,251.49998964965363,27,225.99998887926347,29,198.99998887777448,29,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,13,1000013,113.49999115169197,400,23,85.49999386072156,16,103.49999230206052,20,113.49999115169197,23,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,14,1000014,221.99998773038453,400,32,264.9999885082244,30,241.99998773485376,32,221.99998773038453,32,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,15,1000015,274.9999865889478,400,35,332.9999865978952,35,298.99998659044246,35,274.9999865889478,35,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,16,1000016,222.9999885916712,400,30,265.4999888926743,29,242.99998859465032,30,222.9999885916712,30,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,17,1000017,177.49998887777454,400,29,268.99998889118433,29,205.49998887926353,29,177.49998887777454,29,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,18,1000018,205.99998924434365,400,28,241.4999900192024,26,225.99998924881288,28,205.99998924434365,28,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,19,1000019,231.9999877333637,400,32,284.9999881267545,31,251.99998773485268,32,231.9999877333637,32,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,20,1000020,243.99998811184977,400,31,284.9999885022635,30,263.9999881148311,31,243.99998811184977,31,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,21,1000021,248.9999873548696,400,33,304.99998774528467,32,268.9999873578523,33,248.9999873548696,33,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,22,1000022,187.49998848438443,400,30,247.99998888075368,29,207.49998848736354,30,187.49998848438443,30,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,23,1000023,152.99998963177387,400,27,177.4999915644529,22,173.99998963773322,27,152.99998963177387,27,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,24,1000024,9.89999192804125,400,21,57.89999463111176,14,67.8999919295315,21,9.89999192804125,21,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,25,1000025,113.9999896124024,400,27,205.49999003708388,26,133.99998961687163,27,113.9999896124024,27,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,26,1000026,138.4999903976936,400,25,235.4999904051425,25,158.4999903991826,25,138.4999903976936,25,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,27,1000027,190.39998969882907,400,27,229.9999900937082,26,210.49998970478842,27,190.39998969882907,27,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,28,1000028,272.49998734890687,400,33,296.99998773932396,32,292.4999873504015,33,272.49998734890687,33,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,29,1000029,291.4999858260087,400,37,292.9999877437947,32,311.9999858304835,37,291.4999858260087,37,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,30,1000030,198.49998887479393,400,29,259.99998926669366,28,218.9999888762829,29,198.49998887479393,29,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,31,1000031,300.9999854504994,400,38,337.9999862283466,36,320.99998545646434,38,300.9999854504994,38,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,32,1000032,208.499987727404,400,32,241.99998964667336,27,235.999987728893,32,208.499987727404,32,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,33,1000033,212.99998850077446,400,30,276.49998850971434,30,238.9999885067338,30,212.99998850077446,30,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,34,1000034,221.4999865919347,400,35,313.4999869853257,34,243.99998659342367,35,221.4999865919347,35,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,35,1000035,176.99998894483036,400,30,243.99999010115883,27,203.49998894780947,30,176.99998894483036,30,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,36,1000036,161.99999039322321,400,25,214.49999079108258,24,182.49999039918256,25,161.99999039322321,25,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,37,1000037,203.49998811185526,400,31,217.4999900415542,26,223.49998811334424,31,203.49998811185526,31,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,38,1000038,346.4999850600887,400,39,379.9999850705262,39,366.49998506456353,39,346.4999850600887,39,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,39,1000039,204.99998811483408,400,31,291.4999881193038,31,224.99998811483295,31,204.99998811483408,31,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,40,1000040,195.99998925030408,400,28,251.4999892592431,28,215.99998925179307,28,195.99998925030408,28,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,41,1000041,246.99998735487011,400,33,307.9999873608347,33,271.9999873548721,33,246.99998735487011,33,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,42,1000042,223.99998773187448,400,32,273.9999881312252,31,243.9999877348536,32,223.99998773187448,32,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,43,1000043,234.49998821317928,400,31,272.9999885097145,30,264.9999882176496,31,234.49998821317928,31,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,44,1000044,227.99998885989368,400,29,234.99999002814312,26,247.99998886734315,29,227.99998885989368,29,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,45,1000045,222.49998848587393,400,30,231.99999002814315,26,242.49998849034316,30,222.49998848587393,30,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,46,1000046,167.4999888747949,400,29,210.99999003559373,26,187.499988877774,29,167.4999888747949,29,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,47,1000047,172.99998922944252,400,28,243.99998962581176,27,202.999989236892,28,172.99998922944252,28,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,48,1000048,194.49998926073502,400,28,255.99998927116417,28,214.499989262224,28,194.49998926073502,28,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,49,1000049,197.49998925775458,400,28,245.49999003708388,26,222.49998926073368,28,197.49998925775458,28,False,True
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,delayed_50,50,1000050,241.99998696446232,400,34,204.9999904170634,25,266.99998696744325,34,241.99998696446232,34,False,True
