model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,0,1000500,292.9999862685768,400,36,144.99999356269848,17,170.99999200701777,21,292.9999862685768,36,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,1,1000501,239.49998809546003,400,31,188.9999923080208,20,266.4999880954608,31,239.49998809546003,31,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,2,1000502,285.499986955522,400,34,139.99999422580026,15,123.99999422431071,15,285.499986955522,34,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,3,1000503,164.8999907672423,400,24,161.99999271035216,19,195.49999078214236,24,164.8999907672423,24,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,4,1000504,208.99998847842394,400,30,134.99999346286083,17,237.4999884784228,30,208.99998847842394,30,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,5,1000505,220.99998886138349,400,29,237.4999904170635,25,250.49998887032308,29,220.99998886138349,29,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,6,1000506,267.9999877139862,400,32,289.999988502264,30,294.4999877139907,32,267.9999877139862,32,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,7,1000507,234.9999884784218,400,30,257.99998926520357,28,254.9999884799108,30,234.9999884784218,30,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,8,1000508,162.49999150783,400,22,196.99999154061098,22,182.9999915167696,22,162.49999150783,22,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,9,1000509,151.99999000430284,400,26,79.99999538213044,12,178.99999000579183,26,151.99999000430284,26,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,10,1000510,188.99998961538256,400,27,204.9999907895925,24,200.999990007282,26,188.99998961538256,27,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,11,1000511,239.99998923241893,400,28,269.9999892503023,28,259.9999892324189,28,239.99998923241893,28,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,12,1000512,199.4999896273035,400,27,237.99999003261348,26,230.9999896302826,27,199.4999896273035,27,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,13,1000513,228.89998805225054,400,31,107.39999496936827,13,258.89998805224945,31,228.89998805225054,31,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,14,1000514,264.9999873310271,400,33,129.49999422282002,15,265.49998809397107,31,264.9999873310271,33,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,15,1000515,212.99998885989368,400,29,225.9999900400641,26,238.99998886138266,29,212.99998885989368,29,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,16,1000516,320.99998580812746,400,37,327.999986977875,34,341.49998581856266,37,320.99998580812746,37,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,17,1000517,281.49998656957683,400,35,299.49998774379463,32,311.49998658001203,35,281.49998656957683,35,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,18,1000518,230.49998771995382,400,32,195.49999193400168,21,255.49998771995268,32,230.49998771995382,32,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,19,1000519,160.99999085366906,400,24,154.99999307394052,18,171.4999912440784,23,160.99999085366906,24,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,20,1000520,228.99998923242268,400,28,153.9999934539201,17,249.49998923242154,28,228.99998923242268,28,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,21,1000521,248.49998732209116,400,33,155.99999307245045,18,161.49999191016036,21,248.49998732209116,33,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,22,1000522,136.9999881073844,400,31,258.49998890310485,29,175.4999881297351,31,136.9999881073844,31,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,23,1000523,229.9999866530316,400,35,120.49999395459912,16,184.4999893307692,28,229.9999866530316,35,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,24,1000524,279.999987329537,400,33,149.9999934554102,17,299.99998732954157,33,279.999987329537,33,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,25,1000525,302.4999859049863,400,37,167.999992695451,19,324.9999858096234,37,302.4999859049863,37,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,26,1000526,180.4999892413634,400,28,238.49999002814312,26,213.4999892577536,28,180.4999892413634,28,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,27,1000527,147.99998998046104,400,26,199.49999118149307,23,186.4999900266536,26,147.99998998046104,26,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,28,1000528,219.49998961836258,400,27,239.99999040961285,25,241.99998962134168,27,219.49998961836258,27,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,29,1000529,247.49998733251826,400,33,273.49998850226405,30,270.49998733848145,33,247.49998733251826,33,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,30,1000530,228.4999892383821,400,28,248.9999900341036,26,250.99998924881183,28,228.4999892383821,28,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,31,1000531,272.9999873354979,400,33,143.99999384433048,16,293.99998733550245,33,272.9999873354979,33,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,32,1000532,301.99998657404666,400,35,335.9999865949148,35,323.9999865755413,35,301.99998657404666,35,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,33,1000533,219.9999873399748,400,33,237.99998966008448,27,240.99998734444404,33,219.9999873399748,33,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,34,1000534,284.899986957007,400,34,298.99998775124516,32,305.8999869629719,34,284.899986957007,34,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,35,1000535,337.99998505412844,400,39,358.99998584091617,37,363.999985054133,39,337.99998505412844,39,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,36,1000536,185.99999038428246,400,25,115.49999498873973,13,99.9999949887403,13,185.99999038428246,25,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,37,1000537,269.99998733698635,400,33,301.49998774826474,32,294.99998734742155,33,269.99998733698635,33,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,38,1000538,221.89998971819986,400,28,206.9999920368197,22,248.99998972117896,28,221.89998971819986,28,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,39,1000539,171.99999000132263,400,26,88.99999537318973,12,178.99999076575108,24,171.99999000132263,26,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,40,1000540,331.49998504816847,400,39,329.99998660832625,35,354.4999850556235,39,331.49998504816847,39,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,41,1000541,186.4999899983424,400,26,222.99999078363197,24,217.49999000579186,26,186.4999899983424,26,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,42,1000542,112.99998923540292,400,28,219.99999079108258,24,168.4999892577536,28,112.99998923540292,28,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,43,1000543,225.9999896168721,400,27,248.9999900221826,26,246.99998962134134,27,225.9999896168721,27,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,44,1000544,261.999987728887,400,32,297.999987748265,32,283.99998772889154,32,261.999987728887,32,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,45,1000545,203.99998885542263,400,29,233.99999040514246,25,240.99998886138198,29,203.99998885542263,29,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,46,1000546,172.99999035149963,400,25,69.49999609738586,10,198.9999903514985,25,172.99999035149963,25,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,47,1000547,270.999987713986,400,32,269.99998926222304,28,292.4999877229311,32,270.999987713986,32,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,48,1000548,266.99998808651696,400,31,137.9999942168596,15,286.9999880865215,31,266.99998808651696,31,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,49,1000549,170.4999911412614,400,23,193.49999193102136,21,193.49999114573063,23,170.4999911412614,23,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,50,1000550,213.49998959303056,400,27,257.4999896213413,27,239.49998960197016,27,213.49998959303056,27,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,51,1000551,222.4999876961119,400,32,265.99998848736277,30,244.999987699091,32,222.4999876961119,32,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,52,1000552,204.49998923540295,400,28,214.9999907895925,24,215.49998961836167,27,204.49998923540295,28,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,53,1000553,195.49998935610165,400,28,243.49999012947106,26,237.99998936057088,28,195.49998935610165,28,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,54,1000554,152.4999911367908,400,23,67.4999965086579,9,109.49999420642898,15,152.4999911367908,23,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,55,1000555,285.9999858155785,400,37,291.4999881416559,31,306.4999858319741,37,285.9999858155785,37,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,56,1000556,243.99998811036002,400,31,273.4999888926743,29,264.9999881103614,31,243.99998811036002,31,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,57,1000557,32.499990479648844,400,26,207.49999126791974,24,128.4999904885895,26,32.499990479648844,26,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,58,1000558,242.89998828470448,400,32,258.4999898388984,28,255.49998868107645,31,242.89998828470448,32,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,59,1000559,124.49999035894984,400,25,25.99999689161772,8,133.99999113380915,23,124.49999035894984,25,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,60,1000560,262.99998771249653,400,32,179.99999268651027,19,287.9999877125011,32,262.99998771249653,32,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,61,1000561,75.99999076724234,400,24,217.49999079704307,24,113.99999078214242,24,75.99999076724234,24,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,62,1000562,219.4999877229346,400,32,261.4999888986351,29,242.49998773485444,32,219.4999877229346,32,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,63,1000563,142.99999114275155,400,23,156.9999930828812,18,162.99999114275042,23,142.99999114275155,23,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,64,1000564,217.4999892279523,400,28,143.99999344944973,17,238.49998922795118,28,217.4999892279523,28,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,65,1000565,70.99998628646298,400,32,238.99998926222352,28,192.49998771995377,32,70.99998628646298,32,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,66,1000566,224.69998848587346,400,30,260.9999888852235,29,249.99998848885255,30,224.69998848587346,30,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,67,1000567,254.8999877139866,400,32,280.99998812377453,31,277.99998771548087,32,254.8999877139866,32,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,68,1000568,107.49999228566956,400,20,42.99999689757817,8,60.49999535977821,12,107.49999228566956,20,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,69,1000569,155.99998924434368,400,28,208.4999908044937,24,189.99998926520425,28,155.99998924434368,28,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,70,1000570,141.99998849034492,400,30,227.99999004602458,26,171.99998888820485,29,141.99998849034492,30,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,71,1000571,250.49998846649737,400,30,179.4999926820399,19,260.9999888494601,29,250.49998846649737,30,False,True
pendhrl_c0_seed1_best,../scenarios/corp_100hosts_dynamic.v2.yaml,full_dynamics,72,1000572,248.99998771846035,400,32,128.9999938488009,16,263.49998810142324,31,248.99998771846035,32,False,True
